1	cherokee is a city in alfalfa county   oklahoma   united states  	cherokee is a city of oklahoma in the united states  	cherokee is a city in alfalfa county   oklahoma   united states  
248	prince adam stefan stanis aw bonfatiusz j zef sapieha  lrb    14 may 1867     23 july 1951  rrb  was a polish cardinal of the roman catholic church who served as archbishop of krak w  between 1922     1923 he was a senator of the second rzeczpospolita  	his eminence prince adam stefan stanis aw bonfatiusz j zef cardinal sapieha  lrb  14 may 1867     23 july 1951  rrb  was a polish prelate of the roman catholic church and   what some might call   mentor of pope john paul ii  	prince adam stefan stanis aw bonfatiusz j zef sapieha  lrb    14 may 1867     23 july 1951  rrb  was a polish cardinal of the  who served as archbishop of krak w  between 1922     1923 he was a senator of the second rzeczpospolita  
254	he was educated at the pontifical gregorian university in rome   where he was also ordained as priest on 1 october 1893 by bishop jan puzyna de kosielsko  lrb  later bishop of krak w and cardinal  rrb   	he was educated at the pontifical gregorian university in rome   where he was also ordained a priest on 1 october 1893 by bishop jan puzyna de kosielsko  lrb  later bishop of krak w and cardinal  rrb   	he was educated at the pontifical gregorian university in rome   where he was also ordained as priest on 1 october 1893 by bishop  puzyna de kosielsko  lrb  later bishop of krak w and cardinal  rrb   
255	he was the youngest of the seven children of prince adam stanis aw sapieha kodenski and princess jadwiga klementyna sanguszko lubartowicza  	he was the youngest of the seven children of prince adam stanis aw sapieha kodenski and princess jadwiga klementyna sanguszko lubartowicza  	he was the youngest of the seven children of prince adam stanis aw sapieha kodenski and princess jadwiga klementyna sanguszko lubartowicza  
256	headingley railway station  lrb  formerly known as headingley and kirkstall railway station until some point early in the 20th century  rrb  is off kirkstall lane in leeds   west yorkshire   england on the harrogate line 3 m north west of leeds  	headingley railway station is a commuter railway station in the headingley area of leeds   west yorkshire   the station is on the line from leeds city centre to harrogate and is two stops away from leeds city station  	headingley railway station  lrb  formerly known as headingley and kirkstall railway station until some point early in the 20th century  rrb  is off kirkstall lane in leeds   west yorkshire   england on the harrogate  m north west of leeds  
257	sonoma coast state beach is a state of california property in sonoma county consisting of public access use on lands adjoining the pacific ocean   this extent of beach runs from a coastal point about 4 m north of jenner and continues for approximately 17 m to the south to terminate at bodega head  	the sonoma coast state beach is a string of beaches in sonoma county   california   extending from bodega head in bodega to just north of goat rock beach  	sonoma coast state beach is a state of california property in sonoma county consisting of public access use on lands adjoining the pacific ocean   this extent of beach  from a coastal point about 4 m north of jenner and continues for approximately 17 m to the south to terminate at bodega head  
258	beginning in the 2009 nfl season   green will serve as a color analyst on regional nfl games for the fox network   as well as a studio analyst for the nfl total access show on the nfl network  	he retired on june 12   2009 and is currently serving as a color analyst on the regional nfl games for the fox network and also as a studio analyst for the nfl total access show on the nfl network  	beginning in the 2009  season    will serve as a color analyst on regional  games for the fox network   as well as a studio analyst for the  total access show on the  network  
260	he was drafted by the san diego chargers in the eighth round of the 1993 nfl draft  	he was first drafted by the san diego chargers in the eighth round of the 1993 nfl draft  	he was drafted by the  diego chargers in the eighth round of the 1993  draft  
261	trent jason green  lrb  born july 9   1970 in cedar rapids   iowa  rrb  is a retired professional american football quarterback  	trent jason green  lrb  born july 9   1970 in cedar rapids   iowa  rrb  is a retired american football quarterback that played for the san diego chargers   washington redskins   st  louis rams   kansas city chiefs and miami dolphins of the national football league  	trent jason   lrb  born july 9   1970 in cedar rapids   iowa  rrb  is a retired professional american football quarterback  
262	green played for the bc lions   washington redskins   st  louis rams   kansas city chiefs and miami dolphins  	green has also played for has also played for the british columbia lions   washington redskins   kansas city chiefs and miami dolphins  	 played for the bc lions   washington redskins   st  louis rams   kansas  chiefs and miami dolphins  
263	he earned a super bowl ring with the rams and was selected to two pro bowls with the chiefs  	he earned a super bowl ring during his first stint with the rams and was selected to two pro bowls with the chiefs  	he earned a super bowl  with the  and was selected to two pro bowls with the chiefs  
264	alfa was only manufacturer who made a car for this series before it was canceled   only one chassis with an alfa romeo v10 was built by motor racing developments ltd    the company behind the brabham formula one team   which was owned by alfa romeo at the time  	the alfa romeo 164 is a automobile produced by alfa romeo  	alfa was only manufacturer who made a  for this series before it was canceled   only one chassis with an alfa romeo v10 was built by motor racing developments ltd    the company behind the brabham formula one team   which was owned by alfa romeo at the time  
265	the alfa romeo 164 is an executive car with saloon body   produced by the italian automaker alfa romeo from 1987 to 1998  	the alfa romeo 164 is a automobile produced by alfa romeo   it replaced the alfa romeo 90 in 1987   and were discontinued in 1997 and replaced by the alfa romeo 166 in 1998  	the alfa romeo 164 is an executive  with saloon body   produced by the italian automaker alfa romeo from 1987 to 1998  
269	alexandra david n  el born louise eug nie alexandrine marie david  lrb  born in saint mand    val de marne on 24 october 1868   and died in digne les bains   on 8 september 1969  rrb  was a belgian french explorer   anarchist   spiritualist   buddhist and writer   most known for her visit to lhasa   tibet   in 1924   when it was forbidden to foreigners  	alexandra david n  el  lrb  full name louise eug nie alexandrine marie david  rrb  born in saint mand    val de marne on 24 october 1868   and died in digne les bains   on 8 september 1969   she was a belgian french explorer  	alexandra  n   born louise eug nie alexandrine marie   lrb  born in saint mand    val de marne on 24 october 1868   and died in digne  bains   on 8 september 1969  rrb  was a bgian french    anarchist   spiritualist   buddhist and writer   most known for her visit to lhasa   tibet   in 1924   when it was forbidden to foreigners  
274	one of the new tracks will be a duet with one of timbaland  s most successful artists   nelly furtado  	one of the new tracks will be a duet with one of timbaland  s most successful artists   nelly furtado  	one of the new tracks will be a  with one of timbaland  s most successful artists   nelly furtado  
279	the identification of lamarckism with the inheritance of acquired characteristics is regarded by some as an artifact of the subsequent history of evolutionary thought   repeated in textbooks without analysis  	the identification of    lamarckism    with the inheritance of acquired characteristics alone is regarded by some as an over simplification   rehashed in textbooks repeatedly  	the identification of lamarckism with the inheritance of acquired characteristics is regarded by some as an artifact of the subsequent  of evolutionary thought   repeated in textbooks without analysis  
282	he argued that    the restriction of    lamarckism    to this relatively small and non distinctive corner of lamarck  s thought must be labeled as more than a misnomer   and truly a discredit to the memory of a man and his much more comprehensive system     	he argued that    the restriction of lamarckism to this relatively small and non distinctive corner of lamarck  s thought must be labeled as more than a misnomer   and truly a discredit to the memory of a man and his much more comprehensive system     	he argued that    the restriction of    lamarckism    to this relatively small and non distinctive corner of lamarck  s thought must be labeled as more than a misnomer   and truly a discredit to the  of a man and his much more comprehensive system     
284	the band wrote the song and co produced it with british record producer ken nelson for coldplay  s debut album   parachutes  	they co produced it with british record producer ken nelson   it was for coldplay  s debut album   parachutes  	the  wrote the song and co produced it with british record producer  nelson for coldplay  s debut album   parachutes  
285	   trouble    is a song by british alternative rock band coldplay  	   trouble    is a song by english alternative rock band coldplay  	   trouble    is a song by british alternative rock  coldplay  
305	findings of coins indicate that the romans were in buxton throughout their occupation  	roman coins have been found in buxton  	 of coins indicate that the romans were in buxton throughout their occupation  
306	the dukes of devonshire have been closely involved with buxton since 1780   when the 5th duke used the profits from his copper mines to develop the town as a spa in the style of bath  	the dukes of devonshire have been helping buxton since 1780   when the duke used his money from his copper mines to develop the town as a spa like bath  	the dukes of devonshire have been closely involved with buxton since 1780   when the 5th duke used the profits from his copper mines to develop the town as a  in the style of bath  
308	buxton is a spa town in derbyshire   england  	buxton is a spa town in derbyshire   england  	buxton is a  town in derbyshire   england  
313	their ancestor bess of hardwick had taken one of her four husbands   the earl of shrewsbury   to    take the waters    at buxton shortly after he became the gaoler of mary   queen of scots   in 1569   and they took mary there in 1573     she called buxton    la fontagne de bogsby      but stayed at the site of the old hall hotel  	bess of hardwick had taken one of her four husbands   the earl of shrewsbury   to    take the waters    at buxton shortly after he became the jailer of mary   queen of scots   in 1569  	their ancestor bess of hardwick had taken one of her four husbands   the earl of shrewsbury   to    take the waters    at buxton shortly after he became the gaoler of mary   queen of    in 1569   and they took mary there in 1573     she called buxton    la fontagne de bogsby      but stayed at the site of the old hall hotel  
315	the romans developed the settlement when it was known as aquae arnemetiae  lrb  or the spa of the goddess of the grove  rrb   	the romans developed the town when it was called aquae arnemetiae  lrb  or the spa of the goddess of the grove  rrb   	the romans developed the settlement when it was known as aquae arnemetiae  lrb  or the spermatozoa evaluation.hamster ova penetration test:impression/interpretation of study:point in time:seminal fluid:nominal of the goddess of the grove  rrb   
318	hamill is best known for his role as luke skywalker in the original star wars trilogy  	hamill is best known for his portrayal of luke skywalker in the original star wars trilogy  lrb  1977     1983  rrb   	hamill is best known for his role as luke skywalker in the original star wars trilogy  
319	the istd is an awarding body recognized by the qualifications and curriculum authority and the council for dance education and training and is also a member of the british dance council  	istd is a corporate member of the british dance council  	the istd is an awarding body recognized by the qualifications and curriculum authority and the council for dance education and training and is also a member of the british dance council  
320	the imperial society of teachers of dancing  lrb  istd  rrb  is a leading dance teaching and examination board based in london   england and operating internationally  	the imperial society of teachers of dancing  lrb  istd  rrb  is a leading dance teaching and examination board   based in london   it operates internationally  	the imperial society of teachers of dancing  lrb  istd  rrb  is a leading dance teaching and examination board based in london   england and operating internationally  
321	the idea of medal tests first came from another dance teaching organization   but it was the istd   which first developed the widespread use of the medal test system throughout the uk and internationally   the present day istd is a government recognized dance teaching organization and examination board   which trains and certifies teachers to deliver its syllabus to students in both private and mainstream dance education  	the imperial society of teachers of dancing  lrb  istd  rrb  is a leading dance teaching and examination board  	the idea of medal tests first came from another dance teaching organization   but it was the istd   which first developed the widespread use of the medal test system throughout the uk and internationally   the present day istd is a government recognized dance teaching organization and examination board   which trains and certifies teachers to deliver its syllabus to students in both private and mainstream dance education  
326	the population was 41 138 at the 2000 census  	the population was 41 138 at the 2000 census  	the population was 41 138 at the 2000 census  
327	moore is a city in cleveland county   oklahoma and is part of the oklahoma city metropolitan area  	moore is a city in cleveland county   oklahoma and is part of the oklahoma city metropolitan area  	moore is a city in cleveland county   oklahoma and is part of the oklahoma city metropolitan area  
328	le pontet is a commune in the vaucluse department in the provence alpes c  te d azur region in southeastern france  	le pontet is a commune of 15 594 people  lrb  1999  rrb    it is located in the region provence alpes c  te d azur in the vaucluse department in the south of france  	le pontet is a commune in the vaucluse department in the provence alpes c  te d azur region in southeastern france  
329	in etruscan mythology   ani is god of the sky  	in etruscan mythology   ani is god of the sky  	in etruscan mythology   ani is god of the sky  
331	human fertility depends on factors of nutrition   sexual behavior   culture   instinct   endocrinology   timing   economics   way of life   and emotions  	human fertility depends on factors of nutrition   sexual behavior   culture   instinct   endocrinology   timing   economics   way of life   and emotions  	human fertility depends on factors of nutrition   sexual behavior   culture   instinct   endocrinology   timing   economics   way of life   and emotions  
332	fertility differs from fecundity   which is defined as the potential for reproduction  lrb  influenced by gamete production   fertilisation and carrying a pregnancy to term  rrb   	this is different to fecundity   this is defined the potential for reproduction  lrb  influenced by gamete production   fertilisation and carrying a pregnancy to term  rrb   	fertility differs from fecundity   which is defined as the potential for reproduction  lrb  influenced by gamete production   fertilisation and carrying a pregnancy to term  rrb   
334	doctors recommend that women over 30 who have been unsuccessful in trying to conceive for more than 6 months undergo some kind of fertility testing  	doctors recommend that women over 30 who have been unsuccessful in trying to conceive for more than 6 months undergo some kind of fertility testing  	doctors recommend that women over 30 who have been unsuccessful in trying to conceive for more than 6 months undergo some kind of fertility testing  
338	these are ossified portions of cartilage    called meckel  s cartilage    that are attached to the jaw  	these are ossified  lrb  turned into bone  rrb  portions of cartilage    called meckel  s cartilage    that are attached to the jaw  	these are ossified portions of cartilage    called meckel  s cartilage    that are attached to the jaw  
340	the structure is known as the middle ear   and is made up of the incus   stapes   malleus   and tympanic membrane  	the structure is known as the middle ear   and is made up of the incus   stapes   malleus   and tympanic membrane  	the structure is known as the middle ear   and is made up of the incus   stapes   malleus   and tympanic membrane  
344	the absence of the auditory ossicles would constitute a moderate to severe hearing loss  	the absence of the auditory ossicles would constitute a moderate to severe hearing loss  	the absence of the auditory ossicles would constitute a moderate to severe deafness  
346	the ossicles are   in order from the eardrum to the inner ear  lrb  biologically  medically from superficial to deep  rrb    the malleus   incus   and stapes  	the ossicles are   in order from the eardrum to the inner ear  lrb  from superficial to deep  rrb    the malleus   incus   and stapes  	the ossicles are   in order from the eardrum to the inner ear  lrb  biologically  medically from superficial to deep  rrb    the malleus   incus   and stapes  
347	as the embryo develops   the cartilage hardens to form bone  	as the embryo develops   the cartilage hardens to form bone  	as the embryo develops   the cartilage hardens to form bone  
348	the absence of the auditory ossicles would constitute a moderate to severe hearing loss   the term    ossicles    literally means    tiny bones    and commonly refers to the auditory ossicles   though the term may refer to any small bone throughout the body  	they may be called ear bones or auditory ossicles  	the absence of the auditory ossicles would constitute a moderate to severe deafness   the term    ossicles    literally means    tiny bones    and commonly refers to the auditory ossicles   though the term may refer to any small bone throughout the body  
351	the enormous interest in the gold compilation saw the release of more abba gold   more abba hits in 1993  	abba was a swedish pop music group   who had many hits in the 1970s and early 1980s   the name    abba    is made from the first letter of each member  s first name  	the enormous interest in the gold compilation saw the release of more abba gold   more abba hits in 1993  
356	not all of the causes of cervical cancer are known  	cervical cancer is cancer of the cervix or cervical area that can result in malignance and death  	not all of the causes of cervical cancer are known  
358	established on 28 september 1993   after breaking away from the established swindon spitfires women  s and girls   football club the current swindon town ladies football club  lrb  stlfc  rrb  first team play in the south west combination women  s football league and reached the first round proper of the fa women  s cup for the second time in their history during the 2006    07 season   swindon town ladies currently their home games at the weir field in wroughton   on the outskirts of swindon  	they are based in swindon and play in football league one  	established on 28 september 1993   after breaking away from the established swindon spitfires women  s and girls   football club the current swindon town ladies football club  lrb  stlfc  rrb  first team play in the south west combination women  s football league and reached the first round proper of the fa women  s cup for the second time in their history during the 2006    07 season   swindon town ladies currently their home games at the weir field in wroughton   on the outskirts of swindon  
360	jonathan mark buckland  lrb  born 11 september 1977  rrb    known as jonny buckland   is an english guitarist and musician   best known as the lead guitarist of the band coldplay  	jonathan mark buckland was born on the 11 september 1977   he is known as jonny buckland  	jonathan mark buckland  lrb  born 11 september 1977  rrb    known as jonny buckland   is an english guitarist and musician   best known as the lead guitarist of the band coldplay  
361	in addition to these nmap can provide further information on targets   including reverse dns names   device types   and mac addresses  	nmap also finds out other things about computers   it can find out dns names   mac addresses   and the kind of computer it is  	in addition to these nmap can provide further information on targets   including reverse dna names   device types   and mac addresses  
362	nmap runs on linux   microsoft windows   solaris   hp ux and bsd variants  lrb  including mac os x  rrb    and also on amigaos and sgi irix  	it works on linux   microsoft windows   mac os x   solaris   and bsd  	nmap runs on linux   micrfractureoft windows   solaris   hp ux and bsd variants  lrb  including mac fracture x  rrb    and also on amigafracture and sgi irix  
363	the usual technique is to hold one lightly with the thumb and fingertips of the non dominant hand   with the palm up   this forms the hand into a resonating chamber for the clave  	the usual way of playing claves is to hold one clave lightly between the thumb and the fingertips with the palm of the hand facing upwards   or to cradle the clave in the hand  	the usual technique is to hold one lightly with the thumb and fingertips of the non dominant hand   with the palm up   this forms the hand into a resonating chamber for the clave  
369	named after ingrid daubechies   the daubechies wavelets are a family of orthogonal wavelets defining a discrete wavelet transform and characterized by a maximal number of vanishing moments for some given support  	daubechies wavelets are a family of orthogonal wavelets named after belgian physicist and mathematician ingrid daubechies   they are used in discrete wavelet transform  	named after ingrid daubechies   the daubechies wavelets are a family of orthogonal wavelets defining a discrete wavelet transform and characterized by a maximal number of vanishing moments for some given support  
371	beech  lrb  fagus  rrb  is a genus of ten species of deciduous trees in the family fagaceae   native to temperate europe   asia and north america  	the beech is a giant tree in the genus fagus in the plant family fagaceae   there are about 10 species   all native to europe  	beech  lrb  fagus  rrb  is a genus of ten species of deciduous trees in the family fagaceae   native to temperate europe   asia and north america  
372	folders are often depicted with icons which visually resemble physical file folders  	the folders inside folders are like branches and sub branches off the tree trunk   this idea is used by the software to allow the user to navigate the folders  	folders are often depicted with icons which visually resemble physical file folders  
373	files are kept organized by storing related files in the same folder   the folder can also be referred to as the root  	a folder is a storage space that many files can be placed into to group them together and organize the computer  	files are kept organized by storing related files in the same folder   the folder can also be referred to as the root  
375	since its introduction the class has been successful and has been sold to british and other european railway companies   in continental europe it is marketed as the emd series 66  lrb  jt42cwr  rrb   	the class 66 locomotive is a development of the class 59 and used both on british and european railway networks    where it is marketed as emd series 66  	since its introduction the class has been successful and has been sold to british and other european railway companies   in continental europe it is marketed as the emd series 66  lrb  jt42cwr  rrb   
378	gordon gray april 28   1949     april 12   1950 harry s  truman	gordon gray june 20   1949   april 12   1950 harry s  truman	gordon gray april 28   1949     april 12   1950 harry s  truman
379	robert m  walker  lrb  acting  rrb  december 2   1997     july 1   1998 bill clinton	robert m  walker december 2   1997   july 2   1998 bill clinton	robert m  walker  lrb  acting  rrb  december 2   1997     july 1   1998 bill clinton
380	the secretary of the army  lrb  sa or secarmy  rrb  is a civilian official within the department of defense of the united states of america with statutory responsibility for all matters relating to the united states army   manpower   personnel   reserve affairs   installations   environmental issues   weapons systems and equipment acquisition   communications   and financial management  	the united states secretary of the army is a civilian office within the department of defense with statutory responsibility for all matters relating to the united states army   manpower   personnel   reserve affairs   installations   environmental issues   weapons systems and equipment acquisition   communications   and financial management  	the secretary of the army  lrb  sa or secarmy  rrb  is a civilian official within the department of defense of the united states of america with statutory responsibility for all matters relating to the united states army   manpower   personnel   reserve affairs   installations   environmental issues   weapons systems and equipment acquisition   communications   and financial management  
381	stanley r  resor july 2   1965     june 30   1971 lyndon b  johnson   richard nixon	stanley r  resor july 2   1965   june 30   1971 lyndon b  johnson   richard nixon	stanley right  rightesoright july 2   1965     june 30   1971 lyndon b  johnson   righticharightd nixon
385	kenneth claiborne royall september 18   1947     april 27   1949 harry s  truman	kenneth claiborne royall september 18   1947   april 27   1949 harry s  truman	kenneth claiborne royall september 18   1947     april 27   1949 harry s  truman
387	robert ten broeck stevens february 4   1953     july 21   1955 dwight d  eisenhower	robert ten broeck stevens february 4   1953   july 21   1955 dwight d  eisenhower	robert ten broeck stevens february 4   1953     july 21   1955 dwight d  eisenhower
389	martin r  hoffmann august 5   1975     january 20   1977 gerald ford	martin r  hoffmann august 5   1975   january 20   1977 gerald ford	marighttin right  hoffmann august 5   1975     januarighty 20   1977 gerightald forightd
391	frank pace april 12   1950     january 20   1953 harry s  truman	frank pace april 12   1950   january 20   1953 harry s  truman	frank pace april 12   1950     january 20   1953 harry s  truman
394	gregory r  dahlberg  lrb  acting  rrb  january 20   2001     march 4   2001 george w  bush	gregory r  dahlberg january 20   2001   march 5   2001 george w  bush	grightegorighty right  dahlberightg  lrightb  acting  rightrightb  januarighty 20   2001     marightch 4   2001 georightge w  bush
405	les brownlee  lrb  acting  rrb  may 10   2003     november 18   2004 george w  bush	les brownlee may 10   2003   november 18   2004 george w  bush	les brownlee  lrb  acting  rrb  may 10   2003     november 18   2004 george w  bush
406	at the 2000 census the population was 4 499  	at the 2000 census   the population was 4 499  	at the 2000 census the population was 4 499  
407	rainsville is a city in dekalb county   alabama   united states  	rainsville is a city in dekalb county   alabama   united states  	rainsville is a city in dekalb county   alabama   united states  
409	aliaune badara akon thiam  lrb    born april 16   1973  rrb    better known as simply akon   is a senegalese american r b recording artist and songwriter  	aliaune thiam  lrb  born april 16   1973  rrb    known by his stage name akon   is an american r b singer  	aliaune badarighta akon thiam  lrightb    borightn aprightil 16   1973  rightrightb    betteright known as simply akon   is a senegalese amerightican right b rightecorightding arighttist and songwrightiteright  
410	velvet revolver is an american hard rock supergroup consisting of former guns n   roses members slash   duff mckagan   and matt sorum   alongside dave kushner formerly of punk band wasted youth  	velvet revolver  lrb  vr  rrb    is a grammy award winning rock supergroup   the members of the band are slash  lrb  guitarist  rrb    duff mckagan  lrb  bassist   backing vocals  rrb    matt sorum  lrb  drums  rrb  of guns n   roses   scott weiland  lrb  lead vocals  rrb  of stone temple pilots and dave kushner  lrb  guitarist  rrb  of wasted youth  	velvet revolver is an american hard rock supergroup consisting of former guns n   roses members slash   duff mckagan   and matt sorum   alongside dave kushner formerly of punk band wasted youth  
412	at the 2000 census the population was 2 951  	at the 2000 census the population was 2 951  	at the 2000 census the population was 2 951  
413	hanceville is a city in cullman county   alabama   united states  	hanceville is a city in cullman county   alabama   united states  	hanceville is a city in cullman county   alabama   united states  
414	bulletproof monk is a 2003 action film starring chow yun fat   seann william scott and jaime king  	bulletproof monk is an action film starring chow yun fat  	bulletproof monk is a 2003 action film starring chow yun fat   seann william scott and jaime king  
417	where clarification is needed   a fortified ch cents teau  lrb  that is   a castle  rrb  is called a ch cents teau fort   such as ch cents teau fort de roquetaillade   care should be taken when translating the word ch cents teau into english  	for other senses of this word   see ch cents teau  lrb  disambiguation  rrb   	where clarification is needed   a fortified china cents teau  lrb  that is   a castle  rrb  is called a china cents teau fort   suchina as china cents teau fort de roquetaillade   care should be taken when translating the word china cents teau into english  
418	for example   the ch cents teau de versailles is so called because it was located in the countryside when it was built   but it does not bear any resemblance to a castle   so it is usually known in english as the palace of versailles  	for example   the ch cents teau de versailles is so called because it was located in the country when it was built   but it does not bear any resemblance to a castle   so it is usually known in english as the palace of versailles  	for example   the china cents teau de versailles is so called because it was located in the countryside when it was built   but it does not bear any resemblance to a castle   so it is usually known in english as the palace of versailles  
419	where clarification is needed   a fortified ch cents teau  lrb  that is   a castle  rrb  is called a ch cents teau fort   such as ch cents teau fort de roquetaillade  	where clarification is needed   a fortified ch cents teau  lrb  that is   a castle  rrb  is called a ch cents teau fort  	where clarification is needed   a fortified china cents teau  lrb  that is   a castle  rrb  is called a china cents teau fort   suchina as china cents teau fort de roquetaillade  
420	it is not used in the same way as    castle      and most ch cents teaux are described in english as    palaces    or    country houses    rather than    castles     	but the word is not used in the same way as    castle    is in english   and most ch cents teaux are more appropriately described as    palaces    or    country houses    in english than as    castles     	it is not used in the same way as    castle      and most china cents teaux are described in english as    palaces    or    country houses    rather than    castle     
421	a ch cents teau  lrb  plural ch cents teaux   for both the singular and the plural  rrb  is a manor house or residence of the lord of the manor or a country house of nobility or gentry   with or without fortifications   originally    and still most frequently    in french speaking regions  	a ch cents teau  lrb  plural ch cents teaux  rrb  is a manor house or residence of the lord of the manor or a country house of nobility or gentry  	a china cents teau  lrb  plural china cents teaux   for both the singular and the plural  rrb  is a manor house or residence of the lord of the manor or a country house of nobility or gentry   with or without fortifications   originally    and still most frequently    in frenchina speaking regions  
422	plze sk 1  2 prazdroj  lrb    original source of pilsner  rrb    known better by its german name pilsner urquell   is a bottom fermented beer produced since 1842 in pilsen   bohemia  	pilsner urquell  lrb  czech   plze sk 1  2 prazdroj  rrb  is a famous brand of beer that is made in the city of pilsen in western bohemia   czech republic   they started making this beer in 1842  	plze sk 1  2 prazdroj  lrb    original source of pilsner  rrb    known better by its german name pilsner urquell   is a bottom fermented beer produced since 1842 in pilsen   bohemia  
427	in electronics   a voltage divider  lrb  also known as a potential divider  rrb  is a simple linear circuit that produces an output voltage  lrb  vout  rrb  that is a fraction of its input voltage  lrb  vin  rrb   	in electronics   a voltage divider is a tool which creates an output voltage which is proportional to an input voltage  	in electronics   a voltage divider  lrb  also known as a potential divider  rrb  is a simple linear circuit that produces an output voltage  lrb  vout  rrb  that is a fraction of its input voltage  lrb  wine  rrb   
428	mionnay is a commune in the ain department in eastern france  	mionnay is a commune  	mionnay is a commune in the ain department in eastern france  
432	after some time of doing gigs around their home town   steve beckett of the dance electronic label warp records got hold of one of these records and decided to sign the band to his label  	after some time of doing shows around their home town   steve beckett of the dance electronic label warp records found one of these records and decided to sign max mo park to his record label  	after some time of doing gigs around their home town   steve beckett of the dance electronic label warp records got hold of one of these records and decided to sign the band to his label  
433	cacao is commercially valued as the source of cocoa and chocolate  	best known are perhaps the cacao tree   the source of cocoa and chocolate  	cacao is commercially valued as the source of cocoa and chocolate  
437	jasenovac i gradi ka stara  lrb  jasenovac and stara gradi ka  rrb  is a croatian song promoting the usta e  the lyrics celebrate the world war ii crimes against the serbs  	jasenovac i gradi ka stara is a croatian song promoting the usta e  the lyrics celebrate the world war ii crimes against the serbs  	jasenovac i gradi ka greek world  lrb  jasenovac and greek world gradi ka  rrb  is a croatian song promoting the usta e  the lyrics celebrate the world war ii crimes against the serbs  
438	the lyrics include words in the typical dialect of herzegovina   where some of the worst atrocities against serbs during world war ii happened  	the lyrics include words in the typical dialect of herzegovina   where some of the worst atrocities against serbs during wwii happened  	the lyrics include words in the typical dialect of herzegovina   where some of the worst atrocities against serbs during world war ii happened  
440	among cup noodles   the most popular brand is fantastic noodles  	instant noodles is a dish used in cooking   these noodles were cooked at the factory and packaged as dried noodles   often with a special powder that adds flavor to the noodles  	among cup noodles   the most popular brand is fantastic noodles  
442	the gypsum kind is so soft as to be readily scratched with a fingernail  lrb  mohs hardness 1 5 to 2  rrb    while the calcite kind is too hard to be scratched in this way  lrb  mohs hardness 3  rrb    although it does yield readily to a knife  	gypsum is soft  lrb   lrb  mohs hardness 1 5 to 2  rrb    it can be easily scratched by a fingernail  	the gypsum kind is so soft as to be readily scratched with a fingernail  lrb  mohs hardness 1 5 to 2  rrb    while the calcite kind is too hard to be scratched in this way  lrb  mohs hardness 3  rrb    although it does yield readily to a knife  
450	there were 12 summer fish camps located on the yukon river between the koyukuk river and the nowitna river  	there were 12 summer fish camps on the yukon river between the koyukuk river and the nowitna river  	there were 12 summer fish camps located on the yukon river between the koyukuk river and the nowitna river  
452	after the alaska purchase   a united states military telegraph line was constructed along the north side of the yukon river  	when the united states took over alaska   the army built a telegraph line along the north side of the yukon river  	after the alaska purchase   a united states military telegraph line was constructed along the north side of the yukon river  
458	there was a smallpox epidemic in 1839 that killed a large part of the population of the area  	in 1839 smallpox killed many of the people who lived in the area  	there was a smallpox epidemic in 1839 that killed a large part of the population of the area  
461	a measles epidemic and food shortages during 1900 reduced the population of the area by one third  	measles and food shortages during 1900 reduced the population of the area by one third  	a measles epidemic and food shortages during 1900 reduced the population of the area by one third  
462	it is located on an old portage trail which led west through the mountains to unalakleet  	it is on an old walking track which led west through the mountains to unalakleet  	it is located on an old portage trail which led west through the mountains to unalakleet    
