0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	it is the county seat of pre raphaelite county  
958	however   if ignored   they lose interest when their victims escape   so they move on to find other victims  	also   if most trouble makers are ignored rather than scolded   then they lose interest when their victims escape the trap of posting angry replies   so they move on to find other victims  	however   if ignored   they lose interest when their victims escape   so they move on to find other victims  
959	one of the four young men who founded the club had taken a day trip on this ship with his father  	one of the men who founded the club had taken a day trip on this ship with his father  	one of the four young men who founded the club had taken a day trip on this ship with his father  
960	however   hertha was again soon touched by scandal through its involvement with several other clubs in the bundesliga match fixing scandal of 1971   in the course of an investigation of herthas role   it was also revealed that the club was 6 million dm in debt  	hertha had to sell the team  s former home ground in 1974 when investigations about the match fixing scandal of 1971 showed that the club was 6 million dm  lrb   12 million  rrb  in debt  	however   hertha was again soon touched by scandal through its involvement with several other clubs in the bundesliga match fixing scandal of 1971  
961	however   their on field success was not matched financially and in 1920 the staunchly working class hertha merged with the well heeled club berliner sport club to form hertha berliner sport club  	because of money troubles in 1920 hertha merged with the richer berliner sport club to form hertha berliner sport club  	in 1920 they merged with the well heeled club berliner sport club to form hertha berliner sport club  
962	financial woes once more burdened the club in 1994 as it found itself 10 million dm in debt  	by 1994 hertha bsc was 10 million dm  lrb   20 million  rrb  in debt  	in 1994   the club was renamed    financial     
963	in the show   fifteen year old sokka is a warrior of the south pole  s southern water tribe   a race of people who can control and manipulate water  	in the show   15 year old sokka is a warrior of the south pole  s southern water tribe   a race of people who can control water  	fifteen year old sokka is a warrior of the south pole  s southern water tribe  
964	acrocanthosaurus  lrb    meaning   high spined lizard    rrb  is a genus of theropod dinosaur that existed in what is now north america during the aptian and early albian stages of the early cretaceous   like most dinosaur genera   acrocanthosaurus contains only a single species   a  atokensis  	acrocanthosaurus was a genus of theropod dinosaur that lived in north america during the early cretaceous period  	acrocanthosaurus  lrb    meaning   high spined lizard    rrb  is a genus of theropod dinosaur  
965	in the live action film the last airbender   he is portrayed by jackson rathbone  	in the film version   the last airbender   in which is his name is pronounced differently   the character is played by jackson rathbone  	in the live action film the last airbender   he is portrayed by jackson rathbone  
966	in    sokka  s master      sokka expresses self doubt and worry that he is not contributing as much to the group as his bender companions are  	in    sokka  s master     lrb  the 4th episode of third season  rrb  sokka expresses self doubt and worry that he is not usefull as much to the group as his bender companions are  	in    sokka  s master      sokka tells self doubt and worry that he is not contributing as much to the group as his bender companions  
967	when he was thirteen   his father and the other village men left to fight alongside the earth kingdom in the war against the fire nation   leaving him and his sister to look after their tribe with their grandmother   gran gran  	when sokka was thirteen   his father and the other village men left to help the earth kingdom to fight against the fire nation   leaving him and his sister to look after their tribe with their grandmother   gran gran  	when he was thirteen   his father and the other village men left to fight alongside the earth kingdom in the war against the fire nation  
968	in the end   sokka is seen at iroh  s tea shop in ba sing se where everyone teases a painted picture he created of the entire team    where he altered some factual details to make the scene more    memorable     	in the end   sokka is seen at iroh  s tea shop in ba sing se where everyone teases a painted picture he created of the entire team   wherein he altered some factual details to make the scene more    memorable     	sokka is seen at iroh  s tea shop  
969	cannabis  lrb  c n na bis  rrb  is a genus of flowering plants that includes three putative species   cannabis sativa   cannabis indica   and cannabis ruderalis  	cannabis  lrb  pronounced  rrb   lrb  also called cannabis sativa   cannabis indica   or marijuana  rrb  is a plant  	it includes three putative species   cannabis sativa   cannabis indica   and cannabis ruderalis  
970	in a compromised position   the pair are attacked by two soldiers   but sokka defeats them at the cost of his black    space sword    and boomerang using his remaining good arm and leg  	in a compromised position   the pair are attacked by two soldiers   whom sokka defeats at the cost of his sword and boomerang  	the pair are attacked by two soldiers  
971	he   along with his younger sister katara   discover an airbender named aang   the long lost avatar   and accompanies him on his quest to defeat the imperialistic fire nation and bring peace to the war torn nations  	he   along with his younger sister katara   discovers an airbender named aang   the long lost avatar   and accompanies him on his mission to win the fire nation and bring peace to the world  	he   along with his younger sister katara   discover an airbender named aang   the long lost avatar   and accompanies him on his quest to defeat the imperialistic fire nation and bring peace to the war torn nations  
972	rather than fighting with brute force and flawless technique   sokka  s creativity and thinking outside the box approach to things are the cornerstones of his technique   and his master notes that in time sokka will be a superior swordsman  	rather than fighting with brute force and flawless technique   sokka  s creativity and heterodox approach to things are the cornerstones of his technique   and his master notes that in time sokka will be a superior swordsman  	his master notes that in time sokka will be a superior swordsman  
973	at zuko  s coronation back at the fire nation   suki is reunited with the kyoshi warriors   sokka and katara are reunited with their father   with the rest of the group reunited with their friends  	at zuko  s coronation   suki is reunited with her fellow kyoshi warriors   sokka and katara are reunited with their father   with the rest of the group reunited with their friends  	at is reunited with the kyoshi warriors   sokka and katara  
974	in the two hour series finale   sokka and katara meet with katara  s waterbending master   pakku   whom has revealed he has reconciled with their grandmother and are now married   though he rejects sokka  s grandparent nicknames   gramp gramp and grandpa ku  	in the two hour series finale   sokka and katara meet with katara  s waterbending master   pakku   who has now married their grandmother  	in the two hour series finale   sokka and katara meet with katara  s waterbending master   pakku  
975	in the avatar nick mag presents   first edition issue by co creators michael dante dimartino and bryan konietzko stated that sokka was originally designed to be much more low key   but when his comedian voice actor jack desena came in and brought liveliness to his character   they began writing towards that strength  	michael dante dimartino and bryan konietzko said that sokka was originally designed to be much more low key   but when his comedian voice actor jack desena came in and brought liveliness to his character   they began writing towards that strength  	when dante dimartino and bryan konietzko said that sokka was originally designed to be much more low key  
976	upon discovering that aang was the avatar   destined to master all four elements and bring peace to the world   sokka relented   realizing that they had a common enemy    the fire nation  	upon discovering that aang was the avatar   destined to master all four elements and bring peace to the world   sokka relented   realizing that they had a common enemy in the fire nation  	after discovering that aang was the avatar   destined to master all four elements and bring peace to the world  
977	sokka and toph are separated from suki and attack another airship   but sokka breaks his leg and strains his arm grabbing hold of toph   who was falling off the ship  	sokka and toph are separated from suki and attack another airship   but sokka breaks his leg and strains his arm grabbing hold of toph   who was falling off the ship  	  and toph are separated from suki and attack another airship  
978	in the battle against ozai   sokka with suki and toph hijack a fire nation airship and use it to run into many of the other airships  lrb  similar to dominoes  rrb  while aang duels with the phoenix king  lrb  ozai  rrb   	in the battle against ozai   sokka   his girlfriend suki   and toph destroyed a fire nation airship and use it to destroy others of its kind while aang duels with the phoenix king  lrb  ozai  rrb   	in the battle against ozai   sokka with suki and toph hijack a fire nation airship and use it to run into many of the other airships  lrb  similar to dominoes  rrb  while aang duels with the phoenix king  lrb  ozai  rrb   
979	in 1972 the district was merged with g 1  4 nzburg  lrb  district  rrb  and the urban district g 1  4 nzburg to g 1  4 nzburg district in todays borders  	in 1972 the district became together with g 1  4 nzburg  lrb  district  rrb  and the urban district g 1  4 nzburg   the g 1  4 nzburg district in todays form  	in 1972 the district was merged with g 1  4 district  rrb   
980	the slovak climate lies between the temperate and continental climate zones with relatively warm summers and cold   cloudy and humid winters  	the slovak climate is temperate   with warm summers and cloudy   cold and humid winters  	the slovak climate is between the temperate and continental climate zones with relatively warm summers and cold   cloudy and humid winters  
981	andy  s toys are welcomed by the numerous toys at sunnyside   and given a tour of the seemingly perfect play setting by lots o     huggin   bear  lrb  simply known as lotso  rrb    big baby and ken   whom barbie falls for  	andy  s toys are welcomed by the numerous toys at sunnyside   and given a tour of the seemingly perfect play setting by lots o     huggin   bear  lrb  ned beatty  rrb   lrb  a k a     lotso     rrb    lotso  s chief enforcer big baby  lrb  woody smith  rrb    and the smooth talking ken  lrb  michael keaton  rrb    the latter of whom barbie  lrb  jodi benson  rrb  falls in love with  	andy  s toys are welcomed by the many toys at sunnyside  
982	though chuckles realized the truth   lotso   embittered   convinced big baby that they were replaced   and took over sunnyside   making it like a prison  	even though chuckles realized the truth   an embittered lotso convinced big baby that they were abandoned   and used big baby  s size to help him take control of the toys at sunnyside in the fashion of organized crime  	though   embittered   convinced big baby that they were replaced   and took over sunnyside   making it like a prison  
983	in andy  s room   woody climbs back into the box with andy  s college supplies while the other toys ready themselves to the attic  	at andy  s house   woody climbs back into the box with andy  s college supplies while the other toys resign themselves to the attic  	in andy  s room   woody climbs back into the box with andy  s college supplies while the other toys ready themselves to the attic  
984	andy   taking it for a note from his mom   takes the box to bonnie  s home   introduces his old toys to bonnie and gives her the toys to play with  	andy   mistaking it for a note from his mom   takes the box to bonnie  s home   introduces his old toys to bonnie and gives her the toys to play with  	    taking it for a note from his mom   takes the box to bonnie  s home   introduces his old toys to bonnie and gives her the toys to play with  
985	worried for his friends   woody hurries back to the daycare and finds that they have been put on task to be played with by the rambunctious youngest toddlers  	worried for his friends   woody hurries back to the daycare and finds that they have been put on task to be played with the rambunctious   toy abusing youngest toddlers  	worried for his friends   woody hurries back to the daycare and finds that they have been put on task to be played with by the rambunctious youngest toddlers  
986	as a garbage truck approaches   woody reveals what he knows about lotso   leading big baby to toss him in the dumpster  	as a garbage truck approaches   woody explains to big baby that lotso has lied to him and that his owner still loved him   whereupon big baby   ken and the other sunnyside toys turn on lotso and push him into the dumpster  	as a garbage truck approaches   woody reveals what he knows about lotso   leading big baby to toss him in the dumpster  
987	they help lotso to reach an emergency stop button   but he leaves them to their deaths  	they help lotso to reach an emergency stop button   but instead he escapes and leaves them to be burned  	they help lotso to reach an emergency stop button   but he leaves them to their deaths  
988	andy decides to take woody with him to college and intends to store the other toys in the attic  	andy decides to take woody  lrb  tom hanks  rrb  with him to college and intends to store the other toys in the attic  	andy decides to take woody with him to college and intends to store the other toys in the attic  
989	she takes him home and plays with him along with her other toys   who are well treated   happy   and readily welcome woody  	she takes him home and plays with him along with her other toys   who are well treated   happy   and readily welcome woody  	she takes him home and plays with him along with her other toys   who are well treated   happy   and readily welcome woody  
990	andy  s mom accidentally throws the other toys away   thinking that they are no longer wanted   they escape and decide to climb in a box to be donated to the sunnyside daycare  	a misunderstanding with andy  s slightly aged mother  lrb  laurie metcalf  rrb  results in the other toys being thrown away   making them think they are no longer wanted   they escape and decide to climb in a box to be donated to a daycare center called sunnyside   along with woody  	   s mom accidentally throws the other toys away   thinking that they are no longer wanted   they escape and decide to climb in a box to be donated to the sunnyside daycare  
991	in the process   buzz is accidentally reset into a spanish speaking mode during an attempt to restore him to normal  	in the process   buzz is accidentally reset into a spanish speaking mode during an attempt to restore him to normal  	in the process   buzz is accidentally reset into a spanish speaking mode during an attempt to restore him to normal  
992	woody rejoins his friends and they work out an escape plan involving the garbage dumpster  	woody rejoins his friends and they work out an escape plan involving the garbage dumpster  	woody rejoins his friends and they work out an escape plan involving the garbage dumpster  
993	hot springs   with temperatures between 90 t   were active in a number of episodes   the water had probably cooled to under 30 c before it reached the fossilised organisms  	hot springs   with temperatures between 90 t   were active   the water had probably cooled to under 30 c before it reached the fossilised organisms  	the water had probably cooled to under 30 c before it reached the fossilised organisms  
994	the daily news of new york city is the fifth most widely circulated daily newspaper in the united states with a daily circulation of 632 595   as of june 13   2009  	the daily news of new york city is a daily tabloid newspaper   as of a 2009 study by burrellesluce   a media relations measurement service   it is the fifth most widely distributed daily newspaper in the united states   publishing and selling  	the daily news of new york city is the fifth most widely circulated daily newspaper in the united states with a daily circulation of 632 595   as of june 13   2009  
995	seeking revenge   lotso pulls woody in with him just as the garbage truck collects the garbage  	however   lotso manages to pull woody in with him just as the garbage truck collects the dumpster  	lotso pulls woody in with him just as the garbage truck collects the garbage  
996	in the end   bonnie recognizes woody   who is lying at the bottom of the box   to andy  s surprise  	in the end   bonnie recognizes woody   laying at the bottom of the box   to andy  s surprise  	in the end   bonnie recognizes woody   who is lying at the bottom of the box   to andy  s surprise  
997	all of the toys are quickly enamored of their new home   leaving steadfast woody alone to attempt to return to andy  	all of the toys are quickly enamored with their new home   leaving woody to try to return to andy on his own  	all of the toys are quickly enamored of their new home   leaving steadfast woody alone to attempt to return to andy  
998	the toys are eventually rescued by the squeeze toy aliens using a giant claw  	believing they are at their final moments   the toys join hands   but they are rescued just in time by the squeeze toy aliens  lrb  jeff pidgeon  rrb  using a giant crane  	the toys are eventually rescued by the squeeze toy aliens using a giant claw  
999	remembering his time with bonnie and her toys   woody has an idea   and leaves a note to andy on the toys   box  	woody has a last minute inspiration   and leaves a note to andy on the toys   box  	she has an idea to andy on the toys   box  
1000	woody  s friends board the truck to rescue him   during which buzz is hit by a falling television while saving jessie   finally returning to his normal self  	woody  s friends board the truck to rescue him   during which buzz is hit by a falling television while saving jessie  lrb  joan cusack  rrb    finally returning to his old self  	his friends board the truck to rescue him  
1001	woody and the other toys find themselves wanted and played with again   and learn through notes passed in bonnie  s backpack that barbie   ken and big baby have improved the lives of all the toys at sunnyside  	woody and the other toys find themselves wanted and played with again   and learn through notes passed in bonnie  s backpack that barbie   ken   and big baby have turned around the life of all the toys at sunnyside for the better  	the main characters are   barbie and big  
1002	they are also kept under guard at night by buzz whom lotso has reverted to demonstration mode   restoring his original    space ranger    persona and allying with him  	they are also kept under guard at night by buzz  lrb  tim allen  rrb  whom lotso has reverted to a demonstration state to destroy his memories   restoring his original    space ranger    persona and allying with him  	they are also kept under guard at night by buzz  
1003	lotso   along with big baby and chuckles   were once accidentally lost by their original owner   daisy  	lotso   along with big baby and chuckles   were once accidentally lost by their original owner   daisy  	lotso   along with big baby and chuckles   were once accidentally lost by their original owner   daisy  
1004	andy is now 17 years old and packing for college   and his toys who have not been played with in many years feel forgotten and abandoned  	a 17 year old andy  lrb  john morris  rrb  is packing for college and his toys   who have not been played with in a long time   feel forgotten and abandoned  	andy is now 17 years old and packing for college   and his toys who have not been played with in many years feel forgotten and abandoned  
1005	woody is elated until he hears about lotso from chuckles the sad clown  	woody is elated until he hears about lotso from chuckles the clown  lrb  bud luckey  rrb   	woody is elated until he hears about lotso from chuckles the sad clown  
1006	however   unlike a wet t shirt contest the water used is warm instead of cold  	however   unlike a wet t shirt contest the water used is warm instead of cold  	however   unlike a wet t shirt contest the water used is warm instead of cold  
1007	its chemical name is zirconium silicate and its corresponding chemical formula is zrsio4  	the chemical it is made up of is called zirconium silicate   zrsio4  	its chemical name is zirconium silicate and its corresponding chemical formula is zrsio4  
1008	in addition   the oxygen isotopic compositions of some of these zircons have been interpreted to indicate that more than 4 4 billion years ago there was already water on the surface of the earth  	in addition   the oxygen isotopic compositions of some of these zircons indicate that more than 4 4 billion years ago there was already water on the surface of the earth  	in addition   the oxygen isotopic compositions of some of these zircons have been interpreted to indicate that more than 4 4 billion years ago there was already water on the surface of the earth  
1009	this interpretation is supported by additional trace element data   but is also the subject of debate  	this interpretation is supported by additional trace element data   but is also the subject of debate  	this interpretation is supported by additional trace element data   but is also the subject of debate  
1010	zircons from jack hills in the narryer gneiss terrane   yilgarn craton   western australia   have yielded u pb ages up to 4 404 billion years   interpreted to be the age of crystallization   making them the oldest minerals so far dated on earth  	zircons from the jack hills in the narryer gneiss terrane   yilgarn craton   western australia   have yielded u    pb  lrb  uranium    lead radioactive dating  rrb  ages up to 4 404 billion years   this is judged to be the age of crystallization   making them the oldest minerals so far dated on earth  	it is the oldest minerals so far dated on earth  
1011	in the 1850s   eucalyptus trees were introduced to california by australians during the california gold rush  	in the 1850s many australians traveled to california to take part in the california gold rush  	in the 1850s   eucalyptus trees were introduced to california by australians during the california gold rush  
1012	drainage removes swamps which provide a habitat for mosquito larvae   but can also destroy ecologically productive areas  	drainage removes swamps which provide a habitat for mosquito larvae   but such drainage can also destroy harmless habitats by accident  	the mosquito can also destroy the mosquito larvae  
1013	the 1991 oakland hills firestorm which destroyed almost 3 000 homes and killed 25 people was partly fueled by large numbers of eucalypts close to the houses  	the 1991 oakland hills firestorm which destroyed almost 3 000 homes and killed 25 people was partly fueled by large numbers of eucalyptus in the area close to the houses  	the 1991 oakland hills firestorm which destroyed almost 3 000 homes and killed 25 people was partly fueled by large numbers of eucalypts close to the houses  
1014	eucalypts originated between 35 and 50 million years ago   not long after australia new guinea separated from gondwana   their rise coinciding with an increase in fossil charcoal deposits  lrb  suggesting that fire was a factor even then  rrb    but they remained a minor component of the tertiary rainforest until about 20 million years ago   when the gradual drying of the continent and depletion of soil nutrients led to the development of a more open forest type   predominantly casuarina and acacia species  	eucalypts began between 35 and 50 million years ago   not long after australia and new guinea separated from gondwana   their coming coincides with an increase in fossil charcoal deposits  lrb  which might mean that fire was important to them even then  rrb    but they remained a minor component of the rainforest until about 20 million years ago   when the gradual drying of the continent and lessening of soil richness led to the growth of a more open forest type   with mainly casuarina and acacia trees  	it is about 20 million years ago  
1015	eucalypts have also been used as a way of reducing malaria by draining the soil in algeria   lebanon   sicily   elsewhere in europe   and california  	eucalypts have also been used as a way of reducing malaria by draining the soil in such places as algeria   sicily mainland europe and california  	eucalypts have also been used as a way of reducing malaria by draining the soil in algeria   lebanon   sicily   elsewhere in europe   and california  
1016	much of california has a similar climate to parts of australia  	much of california has similar climate to parts of australia   and some people had the idea of introducing eucalyptus  	most of california has a similar climate to parts of australia  
1017	despite the similar name and appearance   this species is unrelated to the eurasian black vulture  	despite the similar name and appearance   this species is unrelated to the eurasian black vulture  	among the similar name and appearance   this species is unrelated to the eurasian black vulture  
1018	it also has insect repellent properties  lrb  jahn 1991 a   b   1992  rrb    and is an active ingredient in some commercial mosquito repellents  lrb  fradin   day 2002  rrb   	eucalyptus oil is an insect repellent  lrb  fradin   day 2002  rrb   	it also has insect repellent properties  lrb  jahn 1991 a   b   1992  rrb    and is an active ingredient in some commercial mosquito repellents  lrb  fradin   day 2002  rrb   
1019	due to their fast growth   the foremost benefit of these trees is their wood  	because of their fast growth   the main benefit of these trees is the wood  	because of their fast growth   the foremost benefit of these trees is their wood  
1020	by the early 1900s   thousands of acres of eucalypts were planted with the encouragement of the state government  	by the early 1900s thousands of hectares of eucalyptus were planted with the encouragement of the state government  	by the early 1900s   thousands of acres of eucalyptus were planted with the encouragement of the state government  
1021	the dead bark and fallen branches are also flammable  	the dead bark and fallen branches are also flammable  	the dead bark and fallen branches are also flammable  
1022	one way in which the eucalyptus   mainly the blue gum e  globulus   proved valuable in california was in providing windbreaks for highways   orange groves   and other farms in the mostly treeless central part of the state  	one way in which the eucalyptus   mainly the blue gum   proved valuable in california was in providing windbreaks for highways   orange groves   and other farms in the mostly treeless central part of the state  	one way in which the eucalyptus   mainly the blue gum e  globulus   proved valuable in california was in providing windbreaks for highways   orange groves   and other farms in the mostly treeless central part of the state  
1023	the same 2003 bushfire that had little impact on forests around canberra resulted in thousands of hectares of dead ash forests  	the same fire which had little impact on forests around canberra has resulted in thousands of hectares of dead forests  	the same 2003 bushfire that had little impact on forests around canberra resulted in thousands of thousands of dead ash forests  
1024	on warm days vaporised eucalyptus oil rises above the bush to create the characteristic distant blue haze of the australian landscape  	on warm days eucalyptus oil vapor rises above the bush to create the well known distant blue haze of the australian landscape  	on warm days vaporised eucalyptus oil rises above the bush to create the characteristic blue haze of the australian landscape  
1025	in some parts of california   eucalypt forests are being removed and native trees and plants restored  	in some parts of california eucalyptus forests are being removed   and native trees and plants restored  	in some parts of california   eucalypt forests are being removed and native trees and plants restored  
1026	although a common and widespread species   it has a somewhat more restricted distribution than its compatriot   the turkey vulture   which breeds well into canada and south to tierra del fuego  	although a common and widespread species   it has a somewhat more restricted distribution than its compatriot   the turkey vulture   which breeds well into canada and south to tierra del fuego  	it has a more restricted distribution than its compatriot   the turkey vulture   which breeds well into canada and south to tierra del fuego  
1027	it was hoped that they would provide a renewable source of timber for construction   furniture making and railroad ties  	it was hoped that they would provide a renewable source of timber for construction and furniture making  	it was hoped that they would provide a renewable source of timber for construction   furniture making and railroad ties  
1028	eucalyptus was first introduced from australia to the rest of the world by sir joseph banks   botanist   on the cook expedition in 1770  	eucalypts were first introduced to the rest of the world by sir joseph banks   botanist on the cook expedition in 1770  	eucalyptus was first introduced from australia to the rest of the world by sir joseph banks   botanist   on the cook expedition in 1770  
1029	eucalypts draw a tremendous amount of water from the soil through the process of transpiration  	eucalypts draw a very large amount of water from the soil  	eucalypts draw a tremendous amount of water from the soil through the process of transpiration  
1030	eucalyptus oil is readily steam distilled from the leaves and can be used for cleaning   deodorising   and in very small quantities in food supplements   especially sweets   cough drops   toothpaste and decongestants  	eucalyptus oil is refined from the leaves by steaming   it can be used for cleaning   deodorising   and in very small amounts in food supplements   especially sweets   cough drops and decongestants  	it can be used for cleaning   deodorising   and in very small quantities in food supplements  
1031	they have been planted  lrb  or re planted  rrb  in some places to lower the water table and reduce soil salination  	they have been planted  lrb  or re planted  rrb  in some places to lower the water table and reduce the amount of salt in the soil  	they have been planted  lrb  or re planted  rrb  in some places to lower the water table and reduce soil salination  
1032	fire is also a problem  	fire is also a problem  	fire is also a problem  
1033	eucalyptus forests in california have been criticised because they compete with native plants and do not support native animals  	eucalyptus forests in california have been criticized because they drive out the native plants and do not support native animals  	eucalyptus forests in california have been criticized because they compete with native plants and do not support native animals  
1034	six other eucalypt species exceed 80 metres in height   eucalyptus obliqua   eucalyptus delegatensis   eucalyptus diversicolor   eucalyptus nitens   eucalyptus globulus and eucalyptus viminalis  	eucalyptus can be found in almost every part of the australia  	there are six other eucalypt species exceed 80 metres in height   eucalyptus obliqua   eucalyptus delegatensis   eucalyptus diversicolor   eucalyptus nitens   eucalyptus globulus and eucalyptus viminalis  
1035	a database transaction comprises a unit of work performed within a database management system  lrb  or similar system  rrb  against a database   and treated in a coherent and reliable way independent of other transactions  	sometimes the data in the database may also be changed   a database transaction is generally atomic  	a database transaction is a unit of work performed in a database  
1036	fast growth also makes eucalypts suitable as windbreaks and to reduce erosion  	fast growth also makes eucalypts suitable as windbreaks  	it makes eucalypts suitable as windbreaks and to reduce erosion  
1037	several species have become invasive and are causing major problems for local ecosystems   mainly due to the absence of wildlife corridors and rotations management  	several species have become invasive  lrb  spreading out of the area they were planted in  rrb  and are causing major problems for local wildlife  	many species have become invasive and are causing major problems for local ecosystems   mainly due to the absence of wildlife corridors and rotations management  
1038	eucalyptus oil is highly flammable  lrb  trees have been known to explode  rrb  and bushfires can travel easily through the oil rich air of the tree crowns  	eucalyptus oil catches fire very easily   and bush fires can travel quickly through the oil rich air of the tree crowns  	eucalyptus oil is highly flammable  lrb  trees  
1039	ali abdullah harib al habsi   born december 30   1981 in muscat  rrb  is an omani footballer of somali descent    	ali al habsi  lrb  born 30 december 1981  rrb  is an omani football player  	ali abdullah harib al habsi   born december 30   1981 in muscat  rrb  is an omani footballer  
1040	molar mass   symbol m   is a physical property characteristic of a given substance  lrb  chemical element or chemical compound  rrb    namely its mass per amount of substance  	the mass number of an element is equal to the molar mass of the element   the molar mass of a chemical compound is the amount that has 6 022 x 1023 molecules  	molar mass   symbol m   is a property of a given substance  lrb  chemical element or chemical compound  rrb    namely its mass per amount of substance  
1041	this is a dimensionless quantity  lrb  i e    a pure number   without units  rrb  equal to the molar mass divided by the molar mass constant  	the mass number of an element is equal to the molar mass of the element  	this is a dimensionless quantity  lrb  i e    a pure number   without units  rrb  equal to the molar mass divided by the molar mass constant  
1042	theodore james  lrb  tj  rrb  wilson   sometimes stylized as t j  wilson    lrb  born july 11   1980  rrb  is a canadian professional wrestler   he is signed to world wrestling entertainment  lrb  wwe  rrb    and wrestles on the raw brand as tyson kidd  	theodore james  lrb  tj  rrb  wilson is a canadian pro wrestler working for the world wrestling entertainment   wrestling on the smackdown brand  	theodore james  lrb  tj  rrb  wilson   born july 11   1980   is an american professional wrestler  
1043	however   they also have significant differences   such as fully longitudinal seating similar to that used on london underground rolling stock to give more standing room   which is necessary for the high passenger volume metro style services expected to be run on london overground  	primarily   the class 378 will feature fully longitudinal seating similar to that used on london underground rolling stock   which is necessary for the high passenger volume services expected to be run on london overground  	however   they also have significant differences   such as fully longitudinal seating similar to that used on london underground rolling stock to give more standing room   which is necessary for the high passenger volume metro style services expected to be run on london overground  
1044	in 2001   beckinsale garnered international recognition when she was cast as the romantic lead opposite ben affleck in her breakthrough film   pearl harbor  lrb  2001  rrb    since then   she has portrayed a variety of characters in projects such as underworld  lrb  2003  rrb    tiptoes  lrb  2003  rrb    the aviator  lrb  2004  rrb    and van helsing  lrb  2004  rrb   	she starred in the films pearl harbor  lrb  2001  rrb    underworld  lrb  2003  rrb  and van helsing  lrb  2004  rrb   	in 2001   beckinsale got international recognition  
1045	fall of a kingdom is the first novel in the farsala trilogy by american author hilari bell  	fall of a kingdom is the first book in the farsala trilogy by american author hilari bell  	it is the first novel in the farsala trilogy by american author hilari bell  
1046	masaki yokotani  lrb  born may 10   1952  rrb  is a former japanese football player  	masaki yokotani  lrb  born 10 may 1952  rrb  is a former japanese football player  	masaki yokotani  lrb    born 1952   is a former japanese football player  
1047	larry griffin  lrb  september 23   1954    june 21   1995  rrb  was sentenced to death for the murder of 19 year old quintin moss  	larry griffin  lrb  september 23   1954   june 21   1995  rrb    was a man accused of killing 19 year old quintin moss  	larry griffin  lrb  september 23   1954   june 21   1995  rrb  was sentenced to death for the murder of 19 year old quintin moss  
1048	after completing kindergarten   or pre school years   children will then have to go through 6 years compulsory of primary education   from ages 7 to 12  	in singapore   primary school refers to those students who are normally between the ages of 7 to 12  	after completing kindergarten   or pre school years   children will then have to go through 6 years compulsory of primary education   from ages 7 to 12  
1049	very few schools in the us actually use the term primary school as part of their school name and such schools are generally private schools   serving very young children  	primary school is often used in private or independent schools    lrb  in private or independent schools the government does not give the schools money    rrb 	most schools are private schools  
1050	after primary school   students move on to high school  	at the end of p6   students sit for a national level primary school leaving exam  lrb  psle  rrb  which is used for placement into secondary school   prior to primary school   pupils attend kindergarten school for 2 years  	after primary school   students move on to high school  
1051	at the end of primary education   students are required to take a standardised national exam   the primary school leaving examination  lrb  also known as psle  rrb   	at the end of p6   students sit for a national level primary school leaving exam  lrb  psle  rrb  which is used for placement into secondary school  	at the end of primary education   students are required to take a standardized national exam   the primary school leaving examination  lrb  also known as psle  rrb   
1052	bacteroides is a genus of gram negative   bacillus bacteria  	bacteroides is a genus of gram negative bacteria  	  is a genus of gram negative bacteria  
1053	unusual in bacterial organisms   bacteroides membranes contain sphingolipids  	unusual in bacterial organisms   bacteroides membranes contain sphingolipids  	  membranes contain sphingolipids  
1054	the dna base composition is 40 48   gc  	the dna base composition is 40 48   gc  	the dna base composition is 40 48   gc  
1055	they also contain meso diaminopimelic acid in their peptidoglycan layer  	they also contain meso diaminopimelic acid in their peptidoglycan layer  	they also contain meso diaminopimelic acid in their peptidoglycan layer  
1056	in addition to his work with pink floyd   gilmour has worked as a producer for a variety of artists   and has enjoyed a successful career as a solo artist  	along with being in pink floyd   he has worked as a record producer for other musicians   gilmour has also recorded and released albums as a solo performer  	gilmour has enjoyed a successful career as a solo artist  
1057	david jon gilmour   cbe  lrb  born 6 march 1946  rrb  is an english rock musician   best known as the lead guitarist   one of the lead singers and one of the main songwriters in the progressive rock band pink floyd  	david jon gilmour cbe  lrb  born 6 march 1946  rrb  is an english musician   he is most famous for being a guitarist   singer and songwriters in the rock band pink floyd  	david jon gilmour   cbe  lrb    born 6 march 1946  rrb    is an english rock musician  
1058	the republic  s lands also included drenthe  lrb  one of the 17   but without the autonomous status of the others  rrb    and parts of brabant   limburg and flanders   which were considered to be    conquered lands    and were governed directly by the staten generaal   the parliament   hence their name generality lands  	the republic  s lands also included drenthe  lrb  one of the 17   but without the autonomous status of the others  rrb    and parts of brabant   limburg and flanders   which were considered to be    conquered lands    and were governed directly by the staten generaal   the parliament   from this came their name generality lands  	the republic  s lands also included drenthe  lrb  one of the 17   but without the autonomous status of the others  rrb    and parts of brabant   limburg and flanders   which were considered to be    conquered lands    and were governed directly by the staten generaal   the parliament   hence their name generality lands  
1059	the rhynie chert is an early devonian sedimentary deposit exhibiting extraordinary fossil detail or completeness  lrb  a lagerst tte  rrb   	the rhynie chert is an lower devonian sedimentary deposit   part of the old red sandstone   it has extraordinary fossil details   and is a lagerst tte  	the rhynie chert is an early devonian sedimentary deposit  
