1	cherokee is a city in alfalfa county   oklahoma   united states  	cherokee is a city of oklahoma in the united states  	cherokee is a city in alfalfa county   ok   united states  
204	in modern use   the parlor is a formal sitting room in a large house or mansion  	in modern use   the parlor is a formal sitting room in a large house or mansion  	in modern use   the parlor is a formal sitting room in a large house or house  
207	in the late nineteenth century   it was often a formal room used only on sundays or special occasions   and closed during the week  	in the late 19th century   it was often a formal room used only on sundays or special occasions   and closed during the week  	in the late nineteenth century   it was often a formal room used only on sundays or special occasions   and closed during the week  
208	parlour  lrb  or parlor  rrb    from the french word parloir   from parler  lrb     to speak     rrb    denotes an    audience chamber     	parlour  lrb  or parlor  rrb    comes from the french word parloir   from parler   which means    to speak     	parlour  lrb  or parlor  rrb    from the french word parloir   from parler  lrb     to speak     rrb    denotes an    audience chamber     
209	   parlour    is also used in other settings   such as    beer parlor      wine parlor   or   in at least one case      spaghetti parlor     	in parts of great britain and the united states   parlor is a common name for certain types of restaurants such as    ice cream parlor    and    pizza parlor      there are also    beer parlors      wine parlors   or   in at least one case   a    spaghetti parlor     	   parlour    is also used in other settings   such as    beer parlor      wine parlor   or   in at least one case      spaghetti parlor     
210	the   outer parlor   was the room where the monks or nuns could receive a visitor and conduct business with outsiders  	the   outer parlor   was the room where the monks or nuns could meet a visitor and do business with people from outside the monastery  	the   outer parlor   was the room where the monks or nuns could receive a visitor and conduct business with outsiders  
212	in medieval christian usage   the parlor was one of two rooms in a monastery  	in medieval christian usage   the parlor was one of two rooms in a monastery  	in medieval christian usage   the parlor was one of two rooms in a monastery  
215	most orders required a general silence in the cloister   which was the place where the monks engaged in study   and the inner parlor was a convenient place for the monks to engage in conversation freely  	most religious orders wanted silence in the cloister   which was the place where the monks studied   the inner parlor was a place where the monks could talk without disturbing the others in the cloister  	most orders required a general silence in the cloister   which was the place where the monks engaged in study   and the inner parlor was a convenient place for the monks to engage in conversation freely  
217	shunichiro zaitsu  lrb  born 23 january 1987  rrb  is a japanese football player  	shunichiro zaitsu  lrb  born 23 january 1987  rrb  is a japanese football player  	shunichiro zaitsu  lrb  born 23 january 1987  rrb  is a japanese football player  
219	the pontiac vibe is a compact hatchback car that was produced in fremont   california   in the united states by nummi  lrb  new united motor manufacturing   inc  rrb    a joint venture between general motors and toyota   and marketed under general motors   pontiac brand  	the pontiac vibe is a small suv made by general motors with toyota in california  	the pontiac vibe is a compact hatchback car that was produced in fremont   california   in the united states by nummi  lrb  new united motor manufacturing   inc  rrb    a joint venture between general motors and toyota   and marketed under general motors   pontiac brand  
220	the vibe was the mechanical counterpart of the toyota matrix and was based on the toyota corolla  s e platform  	the vibe has the same engine and parts as the toyota matrix and toyota corolla  	the vibe was the mechanical counterpart of the toyota matrix and was based on the toyota corolla  s e platform  
221	the vibe was made right hand drive and exported to the japanese market as the toyota voltz from 2002 to 2004  	the vibe was sold in japan by toyota as the voltz from 2002 to 2004  	the vibe was made right hand drive and exported to the japanese market as the toyota voltz from 2002 to 2004  
224	similar to those holidays   cinco de mayo is observed by many americans regardless of ethnic origin  	cinco de mayo is celebrated by many americans   not only by americans of mexican origin  	similar to those holidays   cinco de mayo is observed by many americans regardless of ethnic origin  
226	special events and celebrations highlight mexican culture   especially in its music and regional dancing  	special events and celebrations highlight mexican culture   especially its music and regional dancing  	special events and celebrations highlight mexican culture   especially in its music and regional dancing  
228	for example   a sky diving club near vancouver   canada   holds a cinco de mayo skydiving event  	for example   a sky diving club near vancouver   canada   holds a cinco de mayo skydiving event  	for example   a sky diving club near vancouver   canada   holds a cinco de mayo skydiving event  
229	cinco de mayo  lrb  spanish for    fifth of may     rrb  is a holiday held on may 5 that commemorates the mexican army  s unlikely victory over french forces at the battle of puebla on may 5   1862   under the leadership of general ignacio zaragoza segu n  it is celebrated primarily in the state of puebla and in the united states  	in the mexican state of puebla   cinco de mayo is celebrated because the mexican army won the battle of puebla from the french army on may 5   1862  	cinco de mayo  lrb  spanish for    fifth of may     rrb  is a holiday held on may 5 that remember the mexican army  s unlikely victory over french forces at the battle of puebla on may 5   1862   under the leadership of general ignacio zaragoza segu n  it is celebrated primarily in the state of puebla and in the united states  
233	examples include baile folkl rico and mariachi demonstrations held annually at the plaza del pueblo de los angeles   near olvera street  	examples include baile folkl rico and mariachi demonstrations held every year at the plaza del pueblo de los angeles   near olvera street  	examples include baile folkl rico and mariachi demonstrations held annually at the plaza del pueblo de los angeles   near olvera street 
