0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  
2191	bc golden gloves   tacoma golden gloves   seattle golden gloves and oregon golden gloves  	the golden gloves is the name given to competitions held every year for amateur boxing in the united states   the golden gloves is often the term used to refer to the national golden gloves competition   but it can also mean a few other amateur tournaments   including regional golden gloves tournaments and other notable tournaments such as the intercity golden gloves   the chicago golden gloves   and the new york golden gloves  	bc golden gloves   pcc golden gloves   seattle golden gloves and oregon golden gloves  
2192	there is also a silver gloves amateur tournament   which is for amateur pugilists age 10 to 15 years old  	there is also a silver gloves amateur tournament   which is for young amateur male boxers age 8 to 15 years old  	there is also a silver gloves amateur tournament   which is for amateur amateur age 10 to 15 years old  
2193	a college town   it is the home of the university of montevallo   a public liberal arts university with around 3000 students  	a college town   it is the home of the university of montevallo   a public liberal arts university with around 3000 students  	a college town   it is the home of the university of montevallo   a public liberal arts university with around 3000 students  
2194	the montevallo public library was founded in march 1958 under the leadership of the city of montevallo and the montevallo branch of the american association of university women  	montevallo is a city in shelby county   alabama   united states   a college town   it is the home of the university of montevallo   a public liberal arts university with around 3000 students  	montevallo is the capital city of montevallo  
2195	naoya tamura is a japanese footballer who plays for vegalta sendai  	naoya tamura  lrb  born 20 november 1984  rrb  is a japanese football player   he plays for vegalta sendai  	naoya tamura  lrb  born 20 august 1982  rrb  is a japanese football player   he plays for vegalta sendai  
2196	the ending   ing is an old germanic suffix indicating the people belonging to the root word to which it is attached   such as in the english word earthling   thus fucking means     lrb  place of  rrb  focko s people     	in old germanic        ing    is used to describe people as belonging to their leader   so    fucking    means     lrb  place of  rrb  focko s people     	the ending   ing is an old germanic suffix showing the people belonging to the root word to which it is attached   such as in the english word macropus   thus fucking means     lrb  place of  rrb  focko s people  
2197	furthermore it is the episcopal see of the diocese of v xj  	furthermore it is the seat of the diocese of v xj  	furthermore it is the seat of the diocese of v xj  
2198	emanuel pogatetz  lrb  born 16 january 1983 in graz  rrb  is an austrian football player who currently plays for hannover 96 as a defender  	emanuel pogatetz  lrb  born 16 january 1983  rrb  is an austrian football player   he plays for hannover 96 in the german bundesliga and the austria national team  	emanuel pogatetz  lrb  born 16 january 1983  rrb  is an austrian football player   he plays for hannover 96 and austria national team  
2199	the tube of the alto flute is considerably thicker and longer than a c flute and requires more breath from the player  	this makes it easy for someone who plays the flute to play on the alto flute   the fingering for the note c on the flute will give a g on the alto flute  	the tube of the alto flute is considerably and longer than a c flute and needs more breath from the player  
2200	the alto flute is a type of western concert flute   a musical instrument in the woodwind family  	the alto flute is a transposing instrument   this makes it easy for someone who plays the flute to play on the alto flute  	the alto flute is a type of video  
2201	yuichi yoda  lrb  born 25 june 1977  rrb  is a japanese football player  	yuichi yoda  lrb  born 25 june 1977  rrb  is a japanese football player  	yuichi yoda  lrb  born 25 june 1977  rrb  is a japanese football player  
2202	alcock was one of the leading pre reformation divines   he was a man of deep learning and also of great proficiency as an architect  	alcock was one of the leading pre reformation churchman   he was a man of deep learning and also a great architect  	alcock was one of the leading pre reformation churchman   he was a man of deep learning and also of great proficiency as an architect  
2203	the band was originally a four piece group consisting of maarja kivi   lenna kuurmaa   katrin siska and piret j rvis   maarja kivi left the group in 2004 and was replaced by triinu kivilaan  	vanilla ninja is a music group made up of four girls named lenna kuurmaa   katrin siska   piret j rvis and ex   triinu kivilaan   maarja kivi the band has had some popular songs in europe and they were in the eurovision song contest in 2005  	the band was originally a fielder group consisting of  unk   unk    it was released in 2004  
2204	honda racing f1 team was a formula one  lrb  f1  rrb  team run by japanese car manufacturer honda   from 1964 to 1968 and from 2006 to 2008  	honda racing f1   was a formula one motor racing team and constructor   honda f1 originally started in 1964 and were in f1 until 1968 when after the death of one of their drivers   honda decided to leave formula 1  	honda racing f1 was a formula one  lrb  f1  rrb  team run by japanese car manufacturer honda   from 1964 to 1968 and from 2006 to 2008  
2205	cutting tools are tools designed to cut material or objects  	cutting tools are tools designed to cut materials or objects  	cutting tools are tools designed to cut materials or objects  
2206	rodrigo gral  lrb  born 21 february 1977 in chapec  rrb  is a brazilian professional footballer who is currently a free agent  	rodrigo gral  lrb  born 21 february 1977  rrb  is a brazilian football player  	rodrigo gral  lrb  born 21 february 1977  rrb  is a brazilian football player  
2207	it was released as a bonus track on adams   greatest hits compilation album so far so good  	the song was made as a bonus track on adams compilation album so far so good  	it was released as a bonus track on adams   greatest hits compilation album so far so good  
2208	the stern review on the economics of climate change is a 700 page report released for the british government on october 30   2006 by economist nicholas stern   chair of the grantham research institute on climate change and the environment at the london school of economics and also chair of the centre for climate change economics and policy  lrb  cccep  rrb  at leeds university and lse  	the stern review on the economics of climate change is a 700 page report released on october 30   2006 by economist lord stern for the british government  	the organizes review on the economics of climate change is a  unk  report released for the british government on october 30   2006 by economist nicholas stern   chair of the  unk  research institute on climate change and the environment at the london school of economics  
2209	brok is a town in ostr w mazowiecka county   masovian voivodeship   poland   with 1 882 inhabitants  lrb  2004  rrb   	brok is in ostrowian county  lrb  head town of this region is ostr w mazowiecka  rrb   	brok is a town in ostrowian county   ostrowian county   ostrowian   poland  
2210	the trading post   a homewares shop   won the inland tourism award for 2006  	the trading post is a homewares shop that won a tourism award for 2006  	the trading post   a homewares shop   won the inland tourism award for 2006  
2211	specimens can be viewed in the specially established age of fishes museum   with scientific support and funding from the australian museum  	specimens can be seen in the age of fishes museum   this was built with support and funding from the australian museum  	specimens can be viewed in the specially established age of fishes museum   with scientific support and funding from the australian museum  
2212	other notable buildings include the nursing home   the junction hotel   finn  s building   the victoria hotel   the former bank of nsw and the former cbc bank  	other important buildings include the nursing home   the junction hotel   finn  s building   the victoria hotel   the former bank of nsw and the former cbc bank  	other notable buildings include the nursing home   the junction hotel   finn  s building   the victoria hotel   the former bank of nsw and the former cbc bank  
2213	a territory  lrb  from the word   terra     meaning   land    rrb  is a defined area   including land and waters   considered to be a possession of a person   organization   institution   animal   state or country subdivision  	a territory  lrb  from the word   terra     which means   land    rrb  is an area which belongs to a person   organization   institution   animal or state  	a territory  lrb  from the word   terra     meaning   land    rrb  is a defined area   including land and waters   considered to be a possession of a person   organization   institution   animal   state or country subdivision  
2214	no further fossils had been recovered until january 1993   when a trial dig on the site using an excavator rediscovered the fossil stratum   where the mass mortality of fishes was preserved in detail  lrb  see lagerst tte  rrb   	more fossils were found in january 1993 using an excavator to dig down to the fossil layer   many fish were preserved in detail  	no further fossils had been recovered until january 1993   when a trial dig on the site using an excavator rediscovered the fossil layer   where the mass sustained of fishes was preserved in detail  lrb  see lagerst tte  rrb   
2215	the royal hotel is on the site of another inn owned by robinson and the plaque on the wall indicates present day understanding that this was the inn where ben hall  s gang had their spree  	the royal hotel is on the site of another hotel owned by robinson   a sign on the wall says this was where ben hall  s gang had their party  	the royal hotel is on the site of another hotel owned by robinson and the plaque on the wall indicates present day understanding that this was the inn where ben hall  s gang had their party  
2216	a chance discovery by a road worker in 1956 uncovered a rich find of 360 million year old fish fossils   dating from the devonian period in the paleozoic era  	a road worker in 1956 found 360 million year old fish fossils   these were from the devonian period in the paleozoic era  	a road worker in 1956 found a rich find of 360 million year old fish fossils   dating from the devonian period in the paleozoic era  
2217	the fish had been buried when trapped in a pool of water that dried up   stranding two armored antiarch placoderms   remigolepis walkeri and bothriolepis yeungae   and canowindra grossi   a lobe finned crossopterygian fish   with two rare juvenile arthrodire placoderms   groenlandaspis species  	the fish found were two armored antiarch placoderms   remigolepis walkeri and bothriolepis yeungae   they also found canowindra grassi   a lobe finned crossopterygian fish   with two rare young arthrodire placoderms   groenlandaspis species  	the fish had been buried when trapped in a pool of water that dried up   surfaced two armored antiarch placoderms   remigolepis walkeri and bothriolepis yeungae   and  unk   unk    a lobe finned crossopterygian fish   with two rare young arthrodire placoderms   groenlandaspis species  
2218	canowindra is the site of one of the world  s great fossil discoveries from the late devonian epoch  	the town is the site of one of the world  s great fossil discoveries  	the town is the site of one of the world  s great fossil discoveries from the late devonian epoch  
2219	some carrot cakes are even layered  	some carrot cakes are even layered  	some carrot cakes are even layered  
2220	many carrot cake recipes include optional ingredients   such as nuts   raisins   pineapple   or coconut   the most common icing on carrot cake is a cream cheese icing  lrb  icing sugar   butter and cream cheese  rrb   	carrot cake is a sweet and moist spice cake   full of cut carrots and toasted nuts   and covered in cream cheese icing  	many carrot cake recipes include optional ingredients   such as nuts   raisins    unk    or coconut  
2221	carrot cake is often referred to as passion cake  	carrot cake is a sweet and moist spice cake   full of cut carrots and toasted nuts   and covered in cream cheese icing   one part of the cake is that the orange flakes of cut carrot give the cake color and texture   along with sweetness and moisture  	carrot cake is often referred to as passion cake  
2222	carrot cake may be eaten plain   but it is commonly either glazed or topped with white icing or cream cheese icing and walnuts   usually chopped  	carrot cake may be eaten plain   but it is commonly either glazed or covered with white icing or cream cheese icing and walnuts   often cut  	carrot cake may be eaten plain   but it is commonly either glazed or covered with white icing or cream cheese icing and walnuts   usually cut  
2223	carrot cake is popular in loaf   sheet cake and cupcake form   and  lrb  in the united kingdom as well as north america  rrb  can be found pre packaged at grocery stores   and fresh at bakeries  	they are popular in loaf   sheet cake and cupcake form   and  lrb  in the united kingdom as well as north america  rrb  can be found pre packaged at grocery stores   and fresh at bakeries  	carrot cake is popular in loaf   sheet cake and cupcake form   and  lrb  in the united kingdom as well as north america  rrb  can be found pre packaged at grocery stores   and fresh at bakeries  
2224	deceptively named   carrot cake more closely resembles a quick bread in method of preparation  lrb  all the wet ingredients   such as the eggs and sugar   are mixed together   all the dry ingredients are mixed together   and the wet are then added to the dry  rrb  and final consistency  lrb  which is usually denser than a traditional cake and has a coarser crumb  rrb   	carrot cake more closely is a quick bread in method of preparation   all the wet ingredients   such as the eggs and sugar   are mixed together  	 unk  named   carrot cake more closely resembles a quick bread in method of preparation  lrb  all the wet ingredients   such as the eggs and sugar   are mixed together   all the dry ingredients are mixed together   and the wet are then added to the dry  rrb  and final consistency  lrb  which is usually denser than a traditional cake and has a harmonic  unk   rrb   
2225	he wrote over 100 m lodies and has been called the french schumann   though their styles and essential temperaments were very different   faur is best remembered for his setting of poems by verlaine    lrb  m lodies de venise  rrb   	he wrote more than 100 m lodies   many based on poems by verlaine  	he wrote about 100 m lodies and has been called the french schumann  
2226	contemporaries of ravel who were noted m lodie composers include albert roussel   reynaldo hahn and andr caplet  	other composers of m lodie at the time include albert roussel   reynaldo hahn and andr caplet  	other composers of m lodie to have albert roussel   reynaldo hahn and andr caplet  
2227	the full chart contains the top selling 200 singles in the united kingdom based upon combined record sales and download numbers   though some media outlets only list the top 40  lrb  such as the bbc  rrb  or the top 75  lrb  such as music week magazine  rrb  of this list  	the full chart lists the top 200 singles   these are judged by combined record sales and download numbers   though some media outlets only list the top 40  lrb  such as the bbc  rrb  or the top 75  lrb  such as music week magazine  rrb  of this list  	the full chart contains the top selling 200 singles in the united kingdom based upon combined record sales and download numbers   though some media outlets only list the top 40  lrb  such as the bbc  rrb  or the top 75  lrb  such as music week magazine  rrb  of this list  
2228	perhaps the first m lodies were those of hector berlioz   he was certainly the first to use the term to describe his own compositions   and his song cycle les nuits d   t  lrb  1841  rrb  is still considered an example of the genre  	hector berlioz was the first composer to call some of his compositions m lodies   his les nuits d   t  lrb  1841  rrb  is one of the greatest of all song cycles  	perhaps the first m lodies were those of hector berlioz   he was certainly the first to use the term to describe his own compositions   and his song cycle les  unk  d   t  lrb  1841  rrb  is still considered an example of the genre  
2229	m lodies continue to be composed today   though perhaps the last uncontestedly great composer of them was francis poulenc   who died in 1963  	m lodies continue to be composed today   though perhaps the last really popular composer of them was francis poulenc   who died in 1963  	m lodies continue to be composed today   though perhaps the last really great composer of them was francis poulenc   who died in 1963  
2230	the football league championship  lrb  often referred to as the championship for short   or the npower championship for sponsorship reasons  rrb  is the highest division of the football league and second highest division overall in the english football league system after the premier league  	the football league championship is the new name of the english first division  	the football league championship is the highest division of the football league  
2231	kazushi isoyama  lrb  born 8 january 1975  rrb  is a former japanese football player  	kazushi isoyama  lrb  born 8 january 1975  rrb  is a former japanese football player  	kazushi isoyama  lrb  born 8 january 1975  rrb  is a former japanese football player  
2232	issei takayanagi is a japanese football player currently playing for sanfrecce hiroshima  	issei takayanagi  lrb  born 14 september 1986  rrb  is a japanese football player   he plays for sanfrecce hiroshima  	issei takayanagi  lrb  born 14 september 1986  rrb  is a japanese football player   he plays for sanfrecce hiroshima  
2233	by convention there are 84 mahasiddhas in both hindu and tibetan buddhist traditions   with some overlap between the two lists  	in both hindu and tibetan buddhist traditions there are 84 mahasiddhas  	in both hindu and tibetan buddhist traditions   with some overlap between the two lists  
2234	one of the most beloved mahasiddhas is virupa   who may be taken as the patron saint of the sakyapa sect and instituted the lamdr  lrb  tibetan   lam   bras  rrb  teachings  	one of the most loved mahasiddhas is virupa   who is a saint of the sakyapa sect  	one of the most beloved mahasiddhas is virupa   who may be taken as the patron saint of the sakyapa sect and debuted the lead up  lrb  tibetan   lam   abdu  rrb  teachings  
2235	it is the second film in the indiana jones franchise and prequel to raiders of the lost ark  lrb  1981  rrb   	it is the second movie in the indiana jones movie series and the prequel to raiders of the lost ark 	it is the second film in the indiana jones series and prequel to raiders of the lost ark  lrb  1981  rrb   
2236	indiana jones and the temple of doom is a 1984 american adventure film directed by steven spielberg  	indiana jones and the temple of doom is a 1984 movie starring harrison ford and directed by steven spielberg  	indiana jones and the temple of doom is a 1984 movie directed by steven spielberg  
2237	around 6 500 british retail outlets contribute sales data   as well as most uk online digital download stores  	around 6 500 uk stores help with sales data   as well as most uk online digital download stores  	around 6 500 british retail outlets contribute sales data   as well as most uk online digital download stores  
2238	the deinonychosauria  lrb     fearsome claw lizards     rrb  were a successful clade of theropods in the late jurassic and cretaceous periods  	the deinonychosauria  lrb     fearsome claw lizards     rrb  is a clade of theropods in the late jurassic and cretaceous periods  	the deinonychosauria  lrb     fearsome claw lizards     rrb  were a clade of theropods in the late jurassic and cretaceous periods  
2239	rinxent is a commune in the pas de calais department in the nord pas de calais region of france  	rinxent is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	rinxent is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  
2240	live from le cabaret is maroon 5  s third live album   released on july 8 as an itunes exclusive download  	live from le cabaret is a hit live studio album by rock pop band maroon 5   the album was exclusively released on itunes store on july 8th of 2008  	live from le cabaret is the third live album by rock pop band maroon 5  
2241	oblio tells the king and the people of the land that everything has a point   including the pointless forest   and himself  	tells a story about a boy named oblio   who is the only round headed person in a land full of people and animals with pointed heads   banished to the pointless forest for not conform to what is    normal      oblio and his dog arrow  lrb  whose head was pointed   but he was still loyal to oblio  rrb  meet many different people   and come to learn that everything and everyone indeed has a    point      a purpose for being what they are  	 unk  tells the king and the people of the land that everything has a point   including the useless forest   and himself  
2242	featured in the cast were davy jones and micky dolenz   both former members of the band the monkees and long time friends of nilsson  	a london production of the play reunited former monkees micky dolenz and davy jones   who were also friends of nilsson  s  	the monkees jones and davy jones is a famous american rock band  
2243	oblio and arrow are sent to the pointless forest   but soon discover that even the pointless forest has a point  	banished to the pointless forest for not conform to what is    normal      oblio and his dog arrow  lrb  whose head was pointed   but he was still loyal to oblio  rrb  meet many different people   and come to learn that everything and everyone indeed has a    point      a purpose for being what they are  	 unk  and arrow are sent to the useless forest   but soon discover that even the useless forest has a point  
2244	as of 2009   there have been over 44 tamagotchi versions released since their creation in 1996  	there are over 36 versions of tamagotchi   including those in 1996  	as of 2009   there have been over 44 variants versions released since their creation in 1996  
2245	he and other writers described v in m inen as the god of chants   songs and poetry   in many stories v in m inen was the central figure at the birth of the world  	v in m inen was also a god  	v in m inen was the central figure at the birth of the world  
2246	archipelagos are often volcanic   forming along island arcs generated by subduction zones or hotspots   but there are many other processes involved in their construction   including erosion   deposition and land elevation  	archipelagoes are often volcanic   forming along mid ocean ridges or hotspots   but there are many other processes involved in their construction   including erosion   deposition   and land elevation  	archipelagoes are often volcanic   forming along island arcs by subduction zones or hotspots   but there are many other processes involved in their construction   including erosion   deposition   and land elevation  
2247	archipelagos can be found isolated in bodies of water   or a large land mass may neighbor them   for example   scotland has more than 700 islands surrounding its mainland  	archipelagos are usually found in the open sea   less commonly   a big land mass may neighbor them   an example being scotland which has more than 700 islands surrounding the mainland  	archipelagoes can be found isolated in bodies of water   or a large land mass may neighbor them  
2248	in 1986 the metropolitan county councils were abolished by the local government act 1985 and most of their functions were devolved to the boroughs   making them to a large extent unitary authorities  	in 1986 the old metropolitan county councils were abolished by the local government act 1985 and most of their functions were given to the boroughs   so they are to a large extent unitary authorities  	in 1986 the metropolitan county councils were abolished by the local government act 1985 and most of their functions were given to the boroughs   making them to a large extent unitary authorities  
2249	the french wikipedia is the french language edition of wikipedia   spelt wikip dia  	the french wikipedia  lrb  in french   wikip dia francophone or wikip dia en fran ais  rrb  is the french language edition of wikipedia   spelled wikip dia  	the french wikipedia is the french language edition of wikipedia   spelled wikip dia  
2250	the first vehicle in the hummer range was the hummer h1   based on the humvee  	hummer was first made by am general who also made vehicles used by the united states army   the design of the hummer h1 is based on the military high mobility multipurpose wheeled vehicle  lrb  hmmwv     humvee  rrb   	the first vehicle in the hummer range was the hummer wheeled   based on the military  
2251	montedio yamagata is a professional association football  lrb  soccer  rrb  club based in yamagata prefecture in japan  	montedio yamagata is a football club which plays in japan  	montedio yamagata is a football club which plays in japan  
2252	mario basler  lrb  born 18 december 1968 in neustadt an der weinstra e   germany  rrb  is a german former football winger   who is now manager of wacker burghausen  	mario basler  lrb  born 18 december 1968  rrb  is a former german football player  	mario basler  lrb  born 18 december 1968  rrb  is a former german football player  
2253	io is a retrograde rotator   with its pole pointing towards one of ecliptic coordinates  lrb          rrb     lrb   45    105   rrb  or  lrb   15    295   rrb  with a 10  uncertainty  	io is a retrograde rotator   with its pole pointing towards one of ecliptic coordinates  lrb          rrb     lrb   45    105   rrb  or  lrb   15    295   rrb  with a 10  uncertainty  lrb  1  rrb   	io is a retrograde rotator   with its pole pointing towards one of ecliptic coordinates  lrb          rrb     lrb   45    105   rrb  or  lrb   15    295   rrb  with a 10  uncertainty  
2254	the new districts replaced the previous system of county boroughs   municipal boroughs   urban and rural districts  	the new metropolitan boroughs replaced the county boroughs   municipal boroughs and urban and rural districts which existed before  	the new metropolitan boroughs replaced the previous system of county boroughs   municipal boroughs   urban and rural districts  
2255	beugin is reallya commune in the pas de calais department in the nord pas de calais region of france  	beugin is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	beugin is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  
2256	during the period of danish rule in the 11th century the authorities maintained a standing fleet by taxation   and this continued for a time under the restored english regime of edward the confessor  lrb  reigned 1042 1066  rrb    who frequently commanded fleets in person  	during the period of danish rule in the 11th century a standing fleet was maintained by taxation   and this continued for a time under the restored english regime of edward the confessor   who frequently commanded fleets in person  	during the period of danish rule in the 11th century the authorities maintained a standing fleet by taxation   and this continued for a time under the restored english regime of edward the confessor  lrb  reigned  unk   rrb    who frequently commanded fleets in person  
2257	the professional head of the naval service is the first sea lord   an admiral and member of the defense council of the united kingdom  	the professional head of the naval service is the first sea lord  	the professional head of the naval service is the first sea lord   an admiral and member of the defense council of the united kingdom  
2258	cincfleet has responsibility for personnel   commando forces   ships and submarines and royal fleet auxiliary in commission  	full command of the royal navy is the job of commander in chief fleet  lrb  cincfleet  rrb    the purpose of cincfleet is to provide ships   submarines and commando forces for military and diplomatic jobs as needed by the government  	cincfleet has responsibility for personnel   submarines forces   ships and commando and royal fleet auxiliary in commission  
2259	cincfleet command is exercised through the navy command headquarters   based at in portsmouth   an operational headquarters   the northwood headquarters   at northwood   london   is co located with the permanent joint headquarters of the united kingdom  s armed forces   and a nato regional command   allied maritime component command northwood  lrb  amccn  rrb   	cincfleet command headquarters are in portsmouth   operational headquarters are at northwood   middlesex  	the  unk  headquarters is a city in the united states  
2260	in 1588 philip ii of spain sent the spanish armada against england in order to end english support for dutch rebels   to stop english corsair activity and to depose the protestant elizabeth i  the spaniards sailed from lisbon   planning to escort an invasion force from the spanish netherlands but the plan failed due to poor planning   english harrying   blocking action by the dutch and bad weather  	privately owned ships combined with the navy royal in highly profitable raids against spanish commerce and colonies 238 53   281 6   292 6 in 1588 philip ii of spain sent the spanish armada against england to stop english support for the dutch rebels   to stop english pirate activity   and to depose elizabeth   the spaniards sailed from lisbon   planning to escort an invasion force from the spanish netherlands  	in 1588 philip ii of spain sent the spanish  unk  against england  
2261	february 2011 there were 81 commissioned ships in the royal navy   including helicopter carriers   landing platform docks   ballistic missile submarines   nuclear fleet submarines   guided missile destroyers   frigates   mine counter measures and patrol vessels   16 vessels of the royal fleet auxiliary  lrb  rfa  rrb  also contribute to the royal navy  s order of battle  	the royal navy has 90 ships including aircraft carriers   submarines   minesweepers and patrol vessels as well as the ships of the royal fleet auxiliary  	february 2011 there were 81 commissioned ships in the royal navy  
2262	he was nominated to the see of rochester on 8 january 1472 and consecrated bishop of rochester on 15 march and was successively translated to the see of worcester on 15 july 1476 and the see of ely on 6 october 1486  	he became bishop of rochester on 15 march   bishop of worcester on 15 july 1476 and of ely on 6 october 1486  	he was announced to the see of rochester on 8 january bishop and consecrated bishop of rochester on 15 march  
2263	some of the functions of the abolished county councils were taken over by joint bodies such as passenger transport authorities   and joint fire   police and waste disposal authorities  	some of the functions of the abolished county councils were taken over by joint bodies such as passenger transport authorities   and joint fire   police and waste disposal authorities  	some of the functions of the abolished county councils were taken over by joint bodies such as passenger transport authorities   and joint fire   police and waste disposal authorities  
2264	the strength of the fleets of the united kingdom of england was an important element in the kingdom  s power in the 10th century  	the strength of the fleets of the united kingdom of england was an important element in the kingdom  s power in the 10th century  	the strength of the fleets of the united kingdom of england was an important element in the kingdom  s power in the 10th century  
2265	the defense council delegates management of the naval service to the admiralty board   chaired by the secretary of state for defense   which directs the navy board   a sub committee of the admiralty board comprising only naval officers and ministry of defense  lrb  mod  rrb  civil servants  	he is a member of the defense council and the admiralty board  	the defense council delegates management of the naval service to the admiralty board   chaired by the secretary of state for defense   which directs the navy board   a wildfire of the admiralty board comprising only naval officers and ministry of defense  lrb   unk   rrb  civil servants  
2266	at one point aethelred ii had an especially large fleet built by a national levy of one ship for every 310 hides of land   but it is uncertain whether this was a standard or exceptional model for raising fleets  	at one point aethelred ii had an especially large fleet built by a national levy of one ship for every 310 hides of land   but it is uncertain whether this was a standard or exceptional model for raising fleets  	at one point aethelred ii had an especially large fleet built by a national levy of one ship for every 310 hides of land   but it is uncertain whether this was a standard or exceptional model for raising fleets  
2267	the royal navy is a constituent component of the naval service   which also comprises the royal marines   royal naval reserve and royal marines reserve  	the naval service is made up of the royal navy   royal marines   royal fleet auxiliary and reserve forces  	the royal navy is a part of the naval service  
2268	the vectra was introduced in 1988 as a replacement to the opel ascona and itself was replaced in 2008 by the opel insignia  	opel vectra was a car produced by the german carmaker opel from 1988 through 2008   and branded as opel in europe  lrb  except for gb  rrb    south africa   china   singapore   japan   taiwan   vauxhall in great britain   holden in australia and in new zealand   and chevrolet in latin america   thailand   indonesia   philippines   depending on the market  	the abolitionist was introduced in 1988  
2269	a metropolitan borough is a type of local government district in england   and is a subdivision of a metropolitan county  	a metropolitan borough  lrb  or metropolitan district  rrb  is a type of local government district in england and covers urban areas within metropolitan counties  	a metropolitan borough is a type of local government district in england   and is a subdivision of a metropolitan county  
2270	burton stephen    burt    lancaster  lrb  november 2   1913   october 20   1994  rrb  was an american film actor noted for his athletic physique and distinctive smile  lrb  which he called    the grin     rrb   	burt lancaster  lrb  november 2   1913   october 20   1994  rrb    was an american actor and director  	burt lancaster  lrb  november 2   1913   october 20   1994  rrb  was an american actor  
2271	crude tankers move large quantities of unrefined crude oil from its point of extraction to refineries  	crude tankers move large quantities of unrefined crude oil from its point of extraction to refineries  	crude tankers move large quantities of unrefined crude oil from its point of extraction to refineries  
2272	an oil tanker   also known as a petroleum tanker   is a merchant ship designed for the bulk transport of oil  	an oil tanker   also known as a petroleum tanker   is a ship made for the bulk transport of oil  	an oil tanker   also known as a petroleum tanker   is a ship made for the bulk transport of oil  
2273	there are two basic types of oil tankers   the crude tanker and the product tanker  	there are two basic types of oil tankers   the crude tanker and the product tanker  	there are two basic types of oil tankers   the crude tanker and the product tanker  
2274	gone with the wind     	gone with the wind     	gone with the wind     
2275	the title is taken from the first line of the third stanza of the poem non sum qualis eram bonae sub regno cynarae by ernest dowson      i have forgot much   cynara  	the title takes its name from the lines an ernest dowson poem      i have forgot much   cynara  	   i have forgot much   cynara  
2276	the notion of permutation is used in the following contexts  	a permutation can be changed into another permutation by simply switching two or more of the objects   for example   the way four people can sit in a car is a permutation  	another permutation can be changed into another permutation by simply switching two or more of the objects  
2277	keidran jones    lrb  born 1987  rrb  better known as his stage name   iyaz   from the british virgin islands   is a singer signed with the record label beluga heights records  	keidran jones  lrb  born 1987  rrb    better known by his stage name iyaz   is a singer and rapper  	keidran jones  lrb  born 1987  rrb  better known as his stage name   deadlock   from the british virgin islands   is a singer signed with the record label gismonda heights records  
2278	his debut number one hit single    replay    was released in 2009 reached number two on the billboard hot 100 number one in the uk   australia and top ten in many other countries  	his song    replay    reached number two on the billboard hot 100 in 2009  	his debut number one hit single    replay    was released in 2009 reached number two on the billboard hot 100 number in the uk   australia and top ten in many other countries  
2279	aim  tienne jacquet  lrb  born november 27   1941  rrb  is a french football coach and former player   and manager of the france national football team when they won the 1998 fifa world cup  	aim jacquet  lrb  born 27 november 1941  rrb  is a former french football player   he has played for france national team  	aim jacquet  lrb  born 27 november 1941  rrb  is a former french football player  
2280	a symbol for square foot   square feet   and    per square foot    commonly used in architecture   real estate and interior space plans is a simple square with a vertical line bisecting it  	a square foot is a way to measure area   it is the area made by a square that has 1 foot sides  	a square foot is a type of square  
2281	the total of all mobile genetic elements in a genome may be referred to as the mobilome  	the total of all mobile genetic elements in a genome may be referred to as the mobilome  	the total of all mobile genetic elements in a genome may be referred to as the mobilome  
2282	barbara mcclintock was awarded the 1983 nobel prize in physiology or medicine    for her discovery of mobile genetic elements     	barbara mcclintock was awarded the 1983 nobel prize in physiology or medicine    for her discovery of mobile genetic elements     	barbara mcclintock was awarded the 1983 nobel prize in physiology or medicine    for her discovery of mobile genetic elements     
2283	mobile genetic elements  lrb  mge  rrb  are a type of dna that can move around within the genome  	mobile genetic elements  lrb  mge  rrb  are a type of dna that can move around within the genome  	mobile genetic elements  lrb  mge  rrb  are a type of dna that can move around within the genome  
2284	founded by the society of jesus in 1878   the school is one of 28 member institutions of the association of jesuit colleges and universities  	it was founded in 1878  	founded by the society of jesus in 1878   the school is one of 28 member institutions of the association of spindle colleges and universities  
2285	please do not use styles that are unusual   inappropriate or difficult to understand in articles  	please do not use styles that are unusual or hard to understand in articles  	please do not use styles that are unusual   inappropriate or difficult to understand in articles  
2286	the ultimate fighting championship  lrb  ufc  rrb  is the largest mixed martial arts  lrb  mma  rrb  promotion company in the world that hosts most of the top ranked fighters and produces numerous events worldwide  	ultimate fighting championship  lrb  ufc  rrb  is a u s  based mixed martial arts  lrb  mma  rrb  organization   currently seen as the largest mma promotion in the world  	the ultimate fighting championship  lrb  ufc  rrb  is the largest mixed martial arts  lrb  mma  rrb  promotion in the world that hosts most of the emirate fighters and produces numerous events worldwide  
2287	this novel is based on the true story of juana maria   the    woman of san nicolas island      a nicole o indian left alone for 18 years on san nicolas island   one of the channel islands off the california coast   before being discovered in 1853  	it is based on the true story of juana maria   the    lone woman of san nicolas      a native american woman left alone for 18 years on san nicolas island off the california coast before being rescued in 1853  	this novel is based on the true story of  unk  maria   the    woman of san nicolas island     
2288	montluel is a commune in the ain department in eastern france  	montluel is a commune  	montluel is a commune  
