0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	there is a county seat of alfalfa county   county   county   united states  
2619	a model for the pattern of florets in the head of a sunflower was proposed by h vogel  	a model for the pattern of florets in the head of a sunflower was proposed by h vogel  	a model for the pattern of florets in the head of a sunflower was proposed by h rose  
2620	a two dimensional spiral may be described most easily using polar coordinates   where the radius r is a continuous monotonic function of angle   	a two dimensional spiral may be described most easily using polar coordinates   there the radius r is a continuous monotonic function of angle   lrb  theta  rrb   	a schism spiral may be described most easily using polar coordinates or a continuous monotonic function of angle   lrb  phonetics  rrb   
2621	jan swammerdam observed the common mathematical characteristics of a wide range of shells from helix to spirula and henry nottidge moseley described the mathematics of univalve shells  	jan swammerdam observed the common mathematical characteristics of a wide range of shells from helix to spirula and henry nottidge moseley described the mathematics of univalve shells  	jan swammerdam observed the common mathematical characteristics of a wide range of shells from carving to spirula and henry nottidge moseley described the mathematics of univalve shells  
2622	for a helix with thickness   see spring  lrb  math  rrb   	for a helix with thickness   see spring  lrb  math  rrb   	for a helix with thickness   see spring  lrb  math  rrb   
2623	the spiral is also found in structures as small as the double helix structure of dna and as large as the spiral structure of a galaxy  	the spiral is also a prominent symbol in the anime gurren lagann   where it symbolizes the double helix structure of dna   representing biological evolution   and the spiral structure of a galaxy   representing universal evolution  	the spiral is also a prominent symbol in the anime gurren lagann   where it symbolizes the double helix structure of dna   representing biological evolution   and the spiral structure of a galaxy   representing universal evolution  
2624	he describes how shells are formed by rotating a closed curve around a fixed axis   the shape of the curve remains fixed but its size grows in a geometric progression  	he describes how shells are formed by rotating a closed curve around a fixed axis   the shape of the curve remains fixed but its size grows in a geometric progression  	he describes how shells are formed by rotating a closed curve around a fixed axis   the shape of the curve remains fixed but its size grows in a geometric progression  
2625	perhaps the most that can be done is to lodge a    pov dispute    on an article  s talk page   but not carry out a protracted debate   because the difficult users will likely escalate any rebellion to become wiki stalking and hounding of their rivals  	perhaps the most that can be done is to lodge a    pov dispute    on an article  s talk page   but not carry out a protracted debate   because the difficult users will likely escalate any rebellion to become wiki stalking and hounding of their rivals  	perhaps the most popular is to lodge a    dispute     on an article  s talk page   but not carry out a protracted debate   because the difficult users will probably escalate any rebellion to become wiki stalking and hounding of their rivals  
2626	d arcy wentworth thompson  s on growth and form gives extensive treatment to these spirals  	d arcy wentworth thompson  s on growth and form gives extensive treatment to these spirals  	thomson arcy wentworth thompson  s on growth and form gives extensive treatment to these spirals  
2627	in some shell such as nautilus and ammonites the generating curve revolves in a plane perpendicular to the axis and the shell will form a planar discoid shape  	in some shell such as nautilus and ammonites the generating curve revolves in a plane pirpendicular to the axis and the shell will form a planer discoid shape  	in some shell such as nautilus and ammonites the generating curve revolves in a plane pirpendicular to the axis and the shell will form a planer discoid shape  
2628	the helix and vortex can be viewed as a kind of three dimensional spiral  	the helix and vortex can be viewed as a kind of three dimensional spiral  	the lancer and vortex can be viewed as a kind of three dimensional spiral  
2629	thompson also studied spirals occurring in horns   teeth   claws and plants  	thompson also studied spirals occurring in horns   teeth   claws and plants  	thompson also studied spirals occurring in horns   teeth   claws and plants  
2630	they are also used as a symbol of dizziness   where the eyes of a cartoon character   especially in anime and manga   will turn into spirals to show they are dizzy or dazed  	they are also used as a symbol of dizziness   where the eyes of a cartoon character   especially in anime and manga   will turn into spirals to show they are dizzy or dazed  	they are also used as a symbol of dizziness   where the eyes of a cartoon character   especially in anime and manga   will turn into spirals to show they are dizzy or b  
2631	many difficult users tend to block progress   and some simply want to stop others from writing articles  	many difficult users tend to block progress   and some simply want to stop others from writing   or expanding articles   with information they do n t want to be shown  	many difficult users tend to block progress   and some simply want to stop others from writing   or expanding articles   with information they do n t want to be shown  
2632	izegem is a municipality located in the belgian province of west flanders  	izegem is a municipality located in the belgian province of west flanders  	izegem is a municipality located in the belgian province of west flanders  
2633	thierry daniel henry  lrb    born 17 august 1977  rrb  is a french professional footballer who plays for the new york red bulls in major league soccer  	thierry henry  lrb  born 17 august 1977 in les ulis   essonne   france  rrb  is a french football player  	thierry henry  lrb  born august 17   1977 in les ulis   essonne   france  rrb  is a french footballer  
2634	aitor   txiki   begiristain m jica  lrb  born 12 august 1964 in olaberria   gipuzkoa   basque country  rrb  is a retired spanish footballer   who played professionally during the 1980s and 1990s  	txiki begiristain  lrb  born 12 august 1964  rrb  is a former spanish football player  	txiki begiristain v zquez  lrb  born 12 august 1964  rrb  is a retired spanish footballer   who played as a goalkeeper  
2635	the british invasion is a term used to describe the large number of rock and roll   beat   rock and pop performers from the united kingdom who became popular in the united states during the period from 1964 through 1966  	the british invasion is an event where many rock and roll   beat   and pop bands from the united kingdom became very popular in the united states   australia   and canada  	the british invasion is an event where many rock and roll events   beat   and pop bands from the united kingdom became very popular in the united states  
2636	   little boy    was the codename of the atomic bomb dropped on hiroshima on august 6   1945 by the boeing b 29 superfortress enola gay   piloted by colonel paul tibbets of the 393d bombardment squadron   heavy   of the united states army air forces  	the bomb was dropped on the japanese city of hiroshima on august 6   1945 by the american army who were trying to end world war ii   enola gay was the name of the plane that dropped little boy  	the back was dropped on the japanese city of hiroshima on august 6   1945  
2637	the reason each spin can work so well   against the insults   is that   typically   an insulting remark must be mild  lrb  otherwise it becomes a vicious personal attack  rrb    so consequently the positive spin can easily claim a viewpoint 100x times the opposite   as an enormous compliment  	the reason each spin can work so well   against the insults   is that   typically   an insulting remark must be mild  lrb  otherwise it becomes a vicious personal attack  rrb    so consequently the positive spin can easily claim a viewpoint 100x times the opposite   as an enormous compliment  	the reason each spin can work so well   against the insults   is that   typically   an substitution permutation remark must be mild  lrb  otherwise it becomes a vicious personal attack  rrb    so consequently the positive spin can easily claim a viewpoint 100x times the opposite   as an enormous straight  
2638	biricodar  lrb  inn   codename vx 170   marketed as the dicitrate salt under the trade name incel  rrb  is a pharmaceutical drug released by vertex pharmaceuticals in 1999 to help treat ovarian cancer patients  	biricodar is dicitrate salt called incel   it is a pharmaceutical drug made by vertex pharmaceuticals in 1999 to help treat ovarian cancer patients  	  is   salt called incel salt   a pharmaceutical drug designed by vertex totoro  
2639	aiden mcgeady  lrb  born 4 april 1986 in glasgow   scotland  rrb  is a footballer who currently plays as a winger for russian club spartak moscow  	aiden mcgeady  lrb  born 4 april 1986  rrb  is an irish football player  	aiden mcgeady  lrb    born 4 april 1986 in irish  rrb  is an irish footballer  
2640	gland is a commune in the aisne department in picardy in northern france  	gland   aisne is a commune  	gland is a commune in the aisne department in picardy in northern france  
2641	equipped with this gene   the former ii r strain bacteria were now protected from the host  s immune system and could kill the host  	armed with this gene   the former ii r strain bacteria were now protected from the host  s immune system and could kill the host  	armed with this gene   the former ii r strain bacteria were now protected from the host  s immune system and could kill the host  
2642	today   we know that the    transforming principle    griffith observed was the dna of the iii s strain bacteria  	today   we know that the    transforming principle    griffith saw was the dna of the iii s strain bacteria  	today   we know that the    transforming principle    by griffith observed was the dna of the iii s strain bacteria  
2643	the iii s strain covers itself with a polysaccharide capsule that protects it from the host  s immune system   resulting in the death of the host   while the ii r strain does n t have that protective capsule and is defeated by the host  s immune system  	the iii s strain covers itself with a polysaccharide capsule that protects it from the host  s immune system  	the iii s strain covers itself with a polysaccharide capsule which protects it from the host  s immune system  
2644	in this experiment   bacteria from the iii s strain were killed by heat   and their remains were added to ii r strain bacteria  	in this experiment   bacteria from the iii s strain were killed by heat   and their remains were added to ii r strain bacteria  	in this experiment   bacteria from the iii s strain were killed by heat   and their remains were added to ii r strain bacteria  
2645	griffith  s experiment   conducted in 1928 by frederick griffith   was one of the first experiments suggesting that bacteria are capable of transferring genetic information through a process known as transformation  	griffith  s experiment   was an experiment done in 1928 by frederick griffith   it was one of the first experiments showing that bacteria can get dna through a process called transformation  	griffith  s experiment was one of the first experiments showing that bacteria can operate dna through a process called transformation  
2646	while neither alone harmed the mice   the combination was able to kill its host  	while neither harmed the mice on their own   the blend of the two was able to kill mice  	while neither harmed the mice on their own   the blend of the two was able to kill mice  
2647	griffith used two strains of pneumococcus  lrb  streptococcus pneumoniae  rrb  bacteria which infect mice    a type iii s  lrb  smooth  rrb  and type ii r  lrb  rough  rrb  strain  	these bacteria infect mice   he used a type iii s  lrb  smooth  rrb  and type ii r  lrb  rough  rrb  strain  	these bacteria infect mice       and type ii r  lrb  rough  rrb  strain  
2648	griffith concluded that the type ii r had been    transformed    into the lethal iii s strain by a    transforming principle    that was somehow part of the dead iii s strain bacteria  	he concluded that the type ii r had been    transformed    into the lethal iii s strain by a    transforming principle    that was somehow part of the dead iii s strain bacteria  	he concluded that the type ii r had been    transformed    into the lethal iii s strain by a    transforming principle    that was somehow part of the dead iii s strain bacteria  
2649	the iii s strain dna contains the genes that form the protective polysaccharide capsule  	the iii s strain dna contains the genes that form the shielding polysaccharide part from attack  	the iii s strain dna contains the genes that form the chambers polysaccharide part from attack  
2650	griffith was also able to isolate both live ii r and live iii s strains of pneumococcus from the blood of these dead mice  	griffith was also able to get both live ii r and live iii s strains of pneumococcus from the blood of these dead mice  	it was also able to get both live ii r strains of pneumococcus from the blood of these dead mice  
2651	while the bacteria had been killed   the dna had survived the heating process and was taken up by the ii r strain bacteria  	while the bacteria had been killed   the dna had survived the heating process and was taken up by the ii r strain bacteria  	while the bacteria had been killed   the dna had survived the heating process and was taken up by the ii r strain bacteria  
2652	marenla is a commune in the pas de calais department in the nord pas de calais region of france  	marenla is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	marenla is a commune in the pas de calais department in the nord pas de calais region of france  
2653	joseph vincent flacco  lrb  born january 16   1985 in new jersey  rrb  is the starting quarterback for the baltimore ravens  	joseph vincent flacco  lrb  born january 16   1985 in audubon   new jersey  rrb  is an american football starting quarterback for the baltimore ravens of the national football league  lrb  nfl  rrb   	joseph james flacco  lrb  born january 16   1985 in audubon   new jersey  rrb  is an american football quarterback for the baltimore ravens of the national football league  
2654	the chert was formed when silica rich water from volcanic springs rose rapidly and petrified the early terrestrial ecosystem   in situ and almost instantaneously   in much the same fashion that organisms are petrified by hot springs today   although the astounding fidelity of preservation has not been found in recent deposits  	the chert was formed when silica rich water from volcanic springs rose and rapidly petrified the early terrestrial ecosystem in situ   organisms are petrified that way by hot springs today   although that quality of preservation has not been found in recent deposits  	it was formed when silica rich water from volcanic springs rose and rapidly petrified the early terrestrial ecosystem in situ  
2655	no   instead   most wiki people are basically good   and it is just a    small group    of difficult users who cause most problems  	no   instead   most wiki people are basically good   and it is just a    small group    of difficult users who cause most problems  	no   instead   most wiki people are essentially good   and it is just a    small group    of difficult users who cause most problems  
2656	camps sur l   isle is a commune in the gironde department in aquitaine in south western france  	camps sur l   isle is a commune   it is found in the region aquitaine in the gironde department in the southwest of france  	camps sur l   isle is a commune in the gironde department in aquitaine in south western france  
2657	microsoft frontpage  lrb  full name microsoft office frontpage  rrb  is a wysiwyg html editor and web site administration tool from microsoft for the microsoft windows line of operating systems  	microsoft frontpage is a program made by microsoft to help people make webpages and full websites  	microsoft frontpage is a linux operating system created by microsoft for windows and released in the united states  
2658	leo wilden  lrb  born 3 july 1936  rrb  is a former german football player  	leo wilden  lrb  born 3 july   1936  rrb  is a former german football player  	leo wilden  lrb  born july 3   1936  rrb  is a former german football player  
2659	try to tune out the difficult users and   instead   always remember the millions of other people who are helping to improve wikipedia  	try to tune out the difficult users and   instead   always remember the millions of other people who are helping to improve wikipedia  	try to tune out the difficult users and   instead   always remember the millions of people who are helping to improve wikipedia  
2660	it is often classified as a sweet bread and is sometimes combined with cinnamon sugar  	most people think of it as sweet bread   and it sometimes has cinnamon in it  	most people consider it to be sweet bread  
2661	5    sokoto state government dairy 2002   ministry of information   youth   sports and culture   sokoto  	sokoto is a city in the northwest of nigeria   near to where the sokoto river and rima river meet   the people in sokoto are mostly muslims  	sokoto is a city in nigeria county   nigeria   united states  
2662	in 1976 following the creation of niger state out of north western state   sokoto state emerged with its headquarters   yet in sokoto   kebbi and zamfara states were carved out of sokoto   in 1991 and 1996 respectively  	the people in sokoto are mostly muslims  	in sokoto   the people in sokoto are muslims  
2663	feelin   so good is the first dvd by american singer jennifer lopez   released in november 2000  	feelin   so good is the first dvd by american singer jennifer lopez   released in november 2000  	feelin   so good is the first dvd by american singer jennifer lopez   released in november 2000  
2664	one user thought the solution was to list every difficult user on his user talk page   but that tends to merely anger them  	one user thought the solution was to list every difficult user on his user talk page   but that tends to merely anger them  	one user thought the solution was to list every difficult user on his user talk page   but that tends to merely anger them  
2665	based on this and co occurring fossils   one plausible hypothesis for the origin of polyplacophora has that they formed when an aberrant monoplacophoran was born with multiple centres of calcification   rather than the usual one  	the polyplacophorans may have formed when an aberrant monoplacophoran was born with multiple centres of calcification   rather than the usual one  	the polyplacophorans may have formed when an aberrant monoplacophoran was born with multiple centres of calcification   rather than the usual one  
2666	chitons have a relatively good fossil record   stretching back to the devonian  	chitons have a relatively good fossil record   stretching back 400 million years to the devonian  	chitons have a relatively good fossil record   stretching back 400 million years to the devonian  
2667	selection quickly acted on the resultant conical shells to form them to overlap into protective armor   their original cones are homologous to the tips of the plates of modern chitons  	selection acted on the resultant conical shells to form them to overlap into protective armor   their original cones are homologous with the tips of the plates of modern chitons  	selection acted on the resultant conical shells to form them to overlap into protective armor  
2668	some species live quite high in the intertidal zone and are exposed to the air and light for long periods  	some species live quite high in the intertidal zone and are exposed to the air and light for long periods  	some species live in the inns zone and are exposed to the air and light for long periods  
2669	before this   some organisms have been interpreted  lrb  tentatively  rrb  as stem group polyplacophora   the record of polyplacophora stretches back to the ordovician  	before this   some organisms have been interpreted  lrb  tentatively  rrb  as stem group polyplacophora   the record of polyplacophora stretches back to the upper cambrian  	before this   some organisms have been interpreted  lrb  tentatively  rrb  as stem group polyplacophora   the record of polyplacophora stretches back to the upper cambrian  
2670	kimberella and wiwaxia of the precambrian and cambrian may be related to ancestral polyplacophora  	kimberella and wiwaxia of the precambrian and cambrian may be related to ancestral polyplacophora  	kimberella and wiwaxia of the precambrian and cambrian may be related to ancestral polyplacophora  
2671	there are relatively few difficult users   but they need to be avoided to stay focused on writing the encyclopedia   and not let petty squabbles cause frustrations and doubts about other   decent users  	there are relatively few difficult users   but they need to be avoided to stay focused on writing the encyclopedia   and not let petty squabbles cause frustrations and doubts about other   decent users  	there are relatively few difficult users   but they need to be avoided to stay focused on writing the encyclopedia   and not letting petty squabbles cause frustrations and doubts about other   decent users  
2672	harold clayton lloyd   sr   lrb  april 20   1893    march 8   1971  rrb  was an american film actor and producer   most famous for his silent comedies  	harold clayton lloyd   sr   lrb  april 20   1893    march 8 1971  rrb  was a famous american actor and producer  	harold clayton lloyd   sr   lrb  april 20   1893     march 8   1971  rrb  was an american actor  
2673	although lloyd  s individual films were not as commercially successful as charlie chaplin  s on average   he was far more prolific  lrb  releasing twelve feature films in the 1920s while chaplin released just three  rrb    and made more money overall  lrb    15 7 million to chaplin  s   10 5 million  rrb   	although lloyd  s movies were not as commercially successful as charlie chaplin  s lloyd made a lot more money than chaplin during their film years    lrb    15 7 million to chaplin  s   10 5 million  rrb   	although lloyd  s film was not successful as charlie chaplin  s lloyd made a lot more money than he during their film years   the band has been convinced to be in the united states  
2674	akhrik sokratovich tsveiba  lrb  born september 10   1966 in gudauta   abkhaz assr   georgian ssr  rrb  is a retired soviet and russian football player  	akhrik tsveiba  lrb  born 10 september 1966  rrb  is a former ukrainian russian football player  	akhrik tsveiba  lrb  born 10 september 1966  rrb  is a former ukrainian russian footballer   who played as a striker  
2675	wittes is a commune in the pas de calais departeent in the nord pas de calais region of france  	wittes is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	wittes is a commune in the pas de calais department in the nord pas de calais region of france  
2676	nov ves u sv tl is a village in the havl  k v brod district   vyso ina region of the czech republic  	nov ves u sv tl is a village in the havl  k v brod district   vyso ina region of the czech republic  	nov ves u sv tl is a village in the havl  k v brod district   vyso ina region of the czech republic  
2677	john michael todd crichton was born on february 12   2009  	he was looked down on by some as a climate change denier in february 2009   his widow gave birth to his only   posthumous son   john michael todd crichton  	he was contrasted down on by some as a climate change denier in february 2009   his widow gave birth to his only   posthumous son   john michael todd crichton  
2678	consequently   because of that focus   the simple act of ignoring troublesome users   and moving on to improve another article   constitutes a total victory over their attempts to block other people from working on articles  	consequently   because of that focus   the simple act of ignoring troublesome users   and moving on to improve another article   constitutes a total victory over their attempts to block other people from working on other articles   although the trolled articles are virtually hopeless  	consequently   because of that focus   the simple act of ignoring troublesome users   and moving on to improve another article   constitutes a total victory over their attempts to block other people from working on other articles   although the trolled articles are virtually hopeless  
2679	in accordance with the private way in which crichton lived his life   his battle with throat cancer was not made public until his death   according to crichton  s brother douglas   crichton was diagnosed with lymphoma in early 2008  	crichton is well known for jurassic park   a book that became a film series  	crichton is well known for jurassic park   a book that became a film series  
2680	levardis robert martyn burton   jr   lrb  born february 16   1957  rrb  professionally known as levar burton   is an american actor   director   producer and author who first came to prominence portraying kunta kinte in the 1977 award winning abc television miniseries roots   based on the novel by alex haley  	levardis robert martyn burton   jr   lrb  born february 16   1957  rrb    commonly known as levar burton   is an american actor  	robert martyn burton   jr   lrb  born february 16   1957  rrb  is an american actor  
2681	he is also well known for his portrayal of geordi la forge on the syndicated science fiction series star trek   the next generation and as the host of the pbs children  s program reading rainbow  	he is probably best known for his role in the popular television series star trek   the next generation   and as the host of the pbs show reading rainbow  	he is probably best known for his role in the popular television series star trek   the following generation   and as the host of the batman show reading rainbow  
2682	jane root   who was appointed in 1999 and was the first woman to be appointed controller of a bbc television channel   departed in may 2004 to become the executive vice president and general manager of the us based discovery channel  	he became controller after jane root departed in may 2004 to become the executive vice president and general manager of the us based discovery channel   jane root was appointed in 1999 and was the first woman to be appointed controller of a bbc television channel  	he became a primary controller after jane root departed in 1999  
2683	economic nationalism is a term used to describe policies which emphasize domestic control of the economy   labor and capital formation   even if this requires the imposition of tariffs and other restrictions on the movement of labor   goods and capital  	economic nationalism is the idea that a state should have control over its economy   labor and how capital is formed  	economic nationalism is the concept that a state should have control over its economy   labor and how capital is formed  
2684	magna carta is often a symbol for the first time the citizens of england were granted rights against an absolute king   however   in practice the commons could not enforce magna carta in the few situations where it applied to them   so its reach was limited  	the magna carta led to the constitutional rule of today  	the magna carta led to the constitutional rule of today  
2685	just as the troll exerts power against those wanting to cross the bridge   the difficult users feel they have a    captive audience    in particular articles  	just as the troll exerts power against those wanting to cross the bridge   the difficult users feel they have a    captive audience    in particular articles  	just as the batsman exerts power   the difficult users feel they have a    captive audience    in particular articles  
2686	whilst radicals such as sir francis burdett believed that magna carta could not be repealed   the 19th century would see the beginning of the repeal of many of the clauses of magna carta   the clauses were either obsolete and  or had been replaced by later legislation  	only three of the original clauses in magna carta are still law today  	only three of the original clauses in magna carta are still law today  
2687	   love story    is a country pop song performed by american singer songwriter taylor swift  	love story is a song by country music artist taylor swift  	love story is a song by country music artist taylor swift  
2688	repentance is an act recognized in judaism   christianity   islam   and other religions  	repentance is an act recognized in judaism   christianity   and islam  	repentance is an act recognized in judaism   christianity   and islam  
2689	the circle jerks are an american hardcore punk band   formed in late 1978 in hermosa beach   california  	the circle jerks are a legendary punk rock band from california  	the circle jerks are a british punk rock band from california  
2690	it was formed by black flag  s original singer   keith morris   and future bad religion guitarist greg hetson  	the band was formed in 1979 by black flag  s original singer   keith morris   and future bad religion guitarist greg hetson  	the band was formed in 1979 by black flag  s original singer   keith morris   and future bad religion guitarist greg hetson  
2691	many difficult users have left within 2 years of joining wikipedia   as they struggled to gain more power   but were continually ignored or rejected  	many difficult users have left within 2 years of joining wikipedia   as they struggled to gain more power   but were continually ignored or rejected  	many difficult users have left within 2 years of joining wikipedia   as they struggled to gain more power   but were continually ignored or rejected  
2692	wysiwyg is an acronym for what you see is what you get   the term is used in computing to describe a system in which content displayed during editing appears very similar to the final output   which might be a printed document   web page   or slide presentation  	wysiwyg  lrb  or     w z w g     rrb    is an acronym for what you see is what you get   used in computing to describe a system where things you type when you are editing appear almost the same to the final output   which might be a printed document   a web page   a powerpoint presentation or even the lighting for a concert  	wysiwyg is an acronym for what you see is what you get is what you get   used in computing to describe a system where you are editing  
2693	beussent is a commune in the pas de calais department in the nord pas de calais region of france  	beussent is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	beussent is a commune in the pas de calais department in the nord pas de calais region of france  
2694	despite being retired   eus bio is a constant presence among the portuguese national team  	eus bio  lrb  born 25 january 1942  rrb  is a former portuguese football player   he has played for portugal national team  	eus bio bio  lrb    born 25 january 1942 in lisbon  rrb  is a portuguese footballer who currently plays for portugal in portugal  
2695	nymphaeales is an order of plants   which consists of water lilies and other aquatic plants  	nymphaeales is an order of plants   which consists of water lilies and other aquatic plants  	nymphaeales is an order of plants   which consists of water lilies and other aquatic plants  
2696	james patrick caviezel   jr   lrb    born september 26   1968  rrb  is an american film actor   sometimes credited as jim caviezel  	james patrick caviezel   jr   lrb    born september 26   1968  rrb  is an american movie actor   he is sometimes called jim caviezel  	james patrick    jim    caviezel  lrb    born september 26   1968  rrb  is an american film actor  
2697	the two classic varieties of smallpox are variola major and variola minor  	they are called variola major and variola minor   some people also call smallpox variola   named after the viruses   scientific name  	smallpox smallpox is a condition in smallpox   largely formed in the evolution of smallpox  
2698	as recently as 1967   the world health organization  lrb  who  rrb  estimated that 15 million people contracted the disease and that two million died in that year  	even in 1967   about 15 million people caught the disease   and about two million people died of it   according to the world health organization  lrb  who  rrb   	the disease  
2699	by the mid 20th century variola minor occurred along with variola major   in varying proportions   in many parts of africa  	they are called variola major and variola minor  	they are called smallpox major  
2700	smallpox was responsible for an estimated 300     500 million deaths during the 20th century  	during the first half of the 20th century   between 300 million and 500 million people died of this disease  	during the first half of 20th century   between 300 million people died of this disease   between 300 million and 500 million people died of this disease  
2701	the american fork   in utah   flows out of american fork canyon in the wasatch mountains about 35 miles southeast of salt lake city  	the american fork river   in utah   leaves the wasatch mountains out of american fork canyon about 35 miles southeast of salt lake city  	the american fork river   in utah   leaves the wasatch mountains out of american fork lake southeast of salt lake city  
2702	the headwaters are located on mount timpanogos and the river continues down through american fork canyon  	the river starts on mount timpanogos and the river runs down through american fork canyon  	the river starts on mount timpanogos and the river runs down through american fork canyon airport in the united states and canada  
2703	roger daltrey sings most of the song   with pete townshend singing the middle eight      do n t cry  don   t raise your eye  it  s only teenage wasteland     	roger daltrey sings most of the song   with pete townshend singing the middle eight      do n t cry  don   t raise your eye  it  s only teenage wasteland     	roger daltrey sings most of the song   with pete townshend singing the middle eight      do n t cry  don   t raise your eye  it  s only teenage wasteland     
2704	look for 2 or more warning signs   and compare as repeated patterns of behavior  	look for 2 or more warning signs   and compare as repeated patterns of behavior  	look for 2 or more warning signs   and compare as repeated patterns of behavior  
2705	edgar holland winter  lrb  born december 28   1946  rrb    is an american musician  	edgar winter  lrb  born december 28   1946  rrb  is an albino musician from beaumont   texas  	edgar winter  lrb  born december 28   1946  rrb  is an armenian american songwriter       and    
2706	in the draft constitution of tokelau subject to the tokelauan self determination referendum in 2006   olohega is claimed as part of tokelau   a claim surrendered in the same 1979 treaty which established a boundary between american samoa and tokelau  	tokelau does not have an official capital   most important languages spoken in tokelau are english and tokelauan  	tokelau is a city in page county   wales   united states  
2707	by the tokelau act of 1948   sovereignty over tokelau was transferred to new zealand  	tokelau is also a village in tuvalu   see tokelau  lrb  tuvalu  rrb    tokelau is an island group located in the pacific ocean  	tokelau is a village located in flanders   one of the three regions of the pacific ocean  
2708	the united nations general assembly designated tokelau a non self governing territory   until 1976 the official name was tokelau islands  	tokelau does not have an official capital  	tokelau does not have an official capital  
2709	the sierra leone national football team   nicknamed the leone stars   is the national team of sierra leone and is controlled by the sierra leone football association  	sierra leone national football team is the national football team of sierra leone  	the sierra leone national football team represents sierra leone in the sierra leone national football association   the sierra leone national football team and the sierra leone national football team  
2710	however   other less maniacal users have acted as    semi trolls    with more balance   and remained years longer  	however   other less maniacal users have acted as    semi trolls    with more balance   and remained years longer  	however   other less maniacal users have acted as    semi trolls    with more balance   and remained years longer  
2711	this page provides information about the use of open proxies to read and edit the english wikipedia  	this page provides information about the use of open proxies to read and change pages on the simple english wikipedia  	this article provides information about the use of open proxies to read and change pages on the simple english wikipedia  
2712	if you have received a message that you are blocked from editing as an open proxy   please see this help page  	if you have received a message that you are blocked from editing as an open proxy   please see this help page  	if you have received a message that you are blocked from editing as an open proxy   please see this help page  
2713	non static ip addresses or hosts that are otherwise not permanent proxies should typically be blocked for a shorter period of time   as it is likely the ip address will eventually be transferred or dynamically reassigned   or the open proxy closed  	non static ip addresses or hosts that are otherwise not permanent proxies should typically be blocked for a shorter period of time   as it is likely the ip address will eventually be transferred or dynamically reassigned   or the open proxy closed  	non static ip addresses or hosts that are otherwise not permanent proxies should typically be blocked for a shorter period of time   as it is likely the ip address will eventually be transferred or dynamically reassigned   or the open proxy closed  
2714	open or anonymising proxies   including tor   may be blocked from editing for any period at any time  	open or anonymising proxies may be blocked from editing for any period at any time  	open or anonymising proxies may be blocked from editing for any period at any time  
2715	while this may affect legitimate users   they are not the intended targets and may freely use proxies until those are blocked  	while this may affect legitimate users   they are not the intended targets and may freely use proxies until those are blocked  	while this may affect legitimate users   they are not the intended targets and may freely use proxies until those are blocked  
2716	mediawiki   the wiki software that powers wikipedia   depends on ip addresses for administrator intervention against abuse   especially by anonymous users  	mediawiki   the wiki software that powers wikipedia   depends on ip addresses for administrator intervention against abuse   especially by anonymous users  	mediawiki   the wiki software that powers wikipedia   depends on ip addresses for administrator intervention against abuse   especially by anonymous users  
2717	several such attacks have occurred on wikimedia projects   causing disruption and occupying administrators who would otherwise deal with other concerns  	several such attacks have occurred on wikimedia projects   causing disruption and occupying administrators who would otherwise deal with other concerns  	several such attacks have occurred on wikimedia projects   causing disruption and occupying administrators who would otherwise deal with other concerns  
2718	again   many difficult users have a lot of impact   so some new users might get goaded into bad behavior   in a copy cat manner   and it takes a few combined actions to realize the behavior is a pattern of intentional   negative   and insulting actions by truly difficult users  	again   many difficult users have a lot of impact   so some new users might get goaded into bad behavior   in a copy cat manner   and it takes a few combined actions to realize the behavior is a pattern of intentional   negative   and insulting actions by truly difficult users  	again   many difficult users have a lot of impact   so some new users might get goaded into bad behavior   in a copy cat manner   and it takes a few combined actions to realize the behavior is a pattern of intentional   negative   and thrust actions by truly difficult users  
2719	no restrictions are placed on reading through an open or anonymous proxy  	no restrictions are placed on reading through an open or anonymous proxy  	no restrictions are placed on reading through an open or anonymous proxy  
2720	this policy is known to cause difficulty for some editors   who must use open proxies to circumvent censorship where they live   for example   citizens of the people  s republic of china   from which access to the chinese language edition of wikipedia is often blocked by the government  s golden shield project  	this policy is known to cause difficulty for some editors   who must use open proxies to circumvent censorship where they live   for example   citizens of the people  s republic of china   from which access to the chinese language edition of wikipedia is currently blocked by the government  s golden shield project  	this policy is known to cause difficulty for some editors   who must use open proxies to satisfy censorship where they live   for example   citizens of the people  s republic of china   from which access to the chinese language edition of wikipedia is currently blocked by the government  s golden shield project  
2721	the term is also used as a synonym for the north caucasus economic region of russia  	the term is also used as a synonym for the north caucasus economical region of russia  	the term is also applied to a synonym for the north caucasus economical region of russia  
2722	lochieu is a commune in the ain department in eastern france  	lochieu is a commune  	lochieu is a commune in the ain department in eastern france  
2723	similar to a legendary troll under the bridge   who waits and makes demands of travelers trying to cross the bridge   the difficult users tend to hang around some significant articles   knowing that certain people will want to change or correct part of the text  	similar to a legendary troll under the bridge   who waits and makes demands of travellers trying to cross the bridge   the difficult users tend to hang around some significant articles   knowing that certain people will want to change or correct part of the text  	similar to a legendary troll under the bridge   who waits and makes demands of travellers to cross the bridge   the difficult users tend to hang around some significant articles   learning that certain people will want to change or correct part of the text  
